algorithm,file,nP,nQ,P3,R3,TLF1
COSIACTTEC,bach_wtc2f20_COSIACTTEC,3,22,0.1565,0.5984,0.2482
COSIACTTEC,beet_sonata01-3_COSIACTTEC,7,22,0.1173,0.2060,0.1495
COSIACTTEC,chop_mazurka24-4_COSIACTTEC,4,37,0.0390,0.2458,0.0673
COSIACTTEC,gbns_silverswan_COSIACTTEC,4,16,0.1109,0.2735,0.1578
COSIACTTEC,mzrt_sonata04-2_COSIACTTEC,9,21,0.2043,0.3987,0.2701
COSIACTTECSegment,bach_wtc2f20_COSIACTTECSegment,3,22,0.1515,0.4323,0.2243
COSIACTTECSegment,beet_sonata01-3_COSIACTTECSegment,7,22,0.3423,0.6096,0.4384
COSIACTTECSegment,chop_mazurka24-4_COSIACTTECSegment,4,37,0.1716,0.6440,0.2709
COSIACTTECSegment,gbns_silverswan_COSIACTTECSegment,4,16,0.2326,0.4265,0.3010
COSIACTTECSegment,mzrt_sonata04-2_COSIACTTECSegment,9,21,0.3557,0.5805,0.4411
COSIARCTTEC,bach_wtc2f20_COSIARCTTEC,3,23,0.1454,0.6757,0.2393
COSIARCTTEC,beet_sonata01-3_COSIARCTTEC,7,22,0.1173,0.2060,0.1495
COSIARCTTEC,chop_mazurka24-4_COSIARCTTEC,4,37,0.0390,0.2458,0.0673
COSIARCTTEC,gbns_silverswan_COSIARCTTEC,4,16,0.1109,0.2735,0.1578
COSIARCTTEC,mzrt_sonata04-2_COSIARCTTEC,9,21,0.2043,0.3987,0.2701
COSIARCTTECSegment,bach_wtc2f20_COSIARCTTECSegment,3,23,0.1659,0.4507,0.2425
COSIARCTTECSegment,beet_sonata01-3_COSIARCTTECSegment,7,22,0.3423,0.6096,0.4384
COSIARCTTECSegment,chop_mazurka24-4_COSIARCTTECSegment,4,37,0.1716,0.6440,0.2709
COSIARCTTECSegment,gbns_silverswan_COSIARCTTECSegment,4,16,0.2326,0.4265,0.3010
COSIARCTTECSegment,mzrt_sonata04-2_COSIARCTTECSegment,9,21,0.3557,0.5805,0.4411
COSIARTECSegment,bach_wtc2f20_COSIARTECSegment,3,30,0.1082,0.4471,0.1743
