Algorithm, Bach, Beet, Chop, Gbns, Mzrt
Algorithm 1  COSIATEC-MIN-3, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
Algorithm 2  COSIATEC-MIN-4, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
Algorithm 3  COSIATEC, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
