Algorithm, Basic algorithm, Mode, RecurSIA, RRT, CT, R,% change in P3,Bach,% change in P3,Beethoven,% change in P3,Chopin,% change in P3,Gibbons,% change in P3,Mozart,Average % change in P3,,,Average % change over all cases,
ReSIARCTTECCompressBB,SIATECCompress,BB,RecurSIA,Z,CT,R,-40.34090909,0.105,-10.02898551,0.1552,-9.665427509,0.0972,15.6626506,0.2112,-35.00191058,0.1701,-15.87491642,,,,
SIARCTTECCompressBB-RRT,SIATECCompress,BB,Z,RRT,CT,R,-14.09090909,0.1512,0.463768116,0.1733,0.092936803,0.1077,-3.121577218,0.1769,0,0.2617,-3.331156278,,,,
SIARCTTECCompressBB,SIATECCompress,BB,Z,Z,CT,R,,0.176,,0.1725,,0.1076,,0.1826,,0.2617,,,,,
ReSIARTECCompressBB-RRT,SIATECCompress,BB,RecurSIA,RRT,Z,R,-35.48559232,0.1209,-43.16270127,0.2365,-48.76722263,0.1413,-9.266409266,0.2585,-37.51820565,0.2145,-34.84002623,,,,
ReSIARTECCompressBB,SIATECCompress,BB,RecurSIA,Z,Z,R,-49.2529349,0.0951,-49.74765681,0.2091,-50.10877447,0.1376,-9.266409266,0.2585,-42.35362657,0.1979,-40.1458804,,,,
SIARTECCompressBB-RRT,SIATECCompress,BB,Z,RRT,Z,R,7.097118463,0.2007,1.538091805,0.4225,-1.087744743,0.2728,0,0.2849,0.757355083,0.3459,1.660964122,,,,
SIARTECCompressBB,SIATECCompress,BB,Z,Z,Z,R,,0.1874,,0.4161,,0.2758,,0.2849,,0.3433,,,,,
ReSIACTTECCompressBB-RRT,SIATECCompress,BB,RecurSIA,RRT,CT,Z,-43.52272727,0.0994,-3.826086957,0.1659,-9.665427509,0.0972,15.77217963,0.2114,-35.23118074,0.1695,-15.29464857,,,,
ReSIACTTECCompressBB,SIATECCompress,BB,RecurSIA,Z,CT,Z,-40.34090909,0.105,-10.02898551,0.1552,-9.665427509,0.0972,15.6626506,0.2112,-35.00191058,0.1701,-15.87491642,,,,
SIACTTECCompressBB-RRT,SIATECCompress,BB,Z,RRT,CT,Z,-14.09090909,0.1512,0.463768116,0.1733,0.092936803,0.1077,-3.121577218,0.1769,0,0.2617,-3.331156278,,,,
SIACTTECCompressBB,SIATECCompress,BB,Z,Z,CT,Z,,0.176,,0.1725,,0.1076,,0.1826,,0.2617,,,,,
ReSIATECCompressBB-RRT,SIATECCompress,BB,RecurSIA,RRT,Z,Z,-29.85856469,0.1339,-45.44549527,0.2192,-52.24742268,0.1158,-27.59197324,0.2165,-49.34445769,0.2125,-40.89758272,,,,
ReSIATECCompressBB,SIATECCompress,BB,RecurSIA,Z,Z,Z,-23.20586695,0.1466,-44.9975112,0.221,-54.80412371,0.1096,-27.59197324,0.2165,-44.50536353,0.2328,-39.02096773,,,,
SIATECCompressBB-RRT,SIATECCompress,BB,Z,RRT,Z,Z,7.962283918,0.2061,-5.574912892,0.3794,0.536082474,0.2438,0,0.299,-6.364719905,0.3928,-0.688253281,,,,
SIATECCompressBB,SIATECCompress,BB,Z,Z,Z,Z,,0.1909,,0.4018,,0.2425,,0.299,,0.4195,,,,,
ReCOSIARCTTECSegment-RRT,COSIATEC,Segment,RecurSIA,RRT,CT,R,-38.33075734,0.0798,-29.78193146,0.2254,-5.367913148,0.1569,0,0.255,-37.72807534,0.2116,-22.24173546,,,,
ReCOSIARCTTECSegment,COSIATEC,Segment,RecurSIA,Z,CT,R,-45.82689335,0.0701,-29.37694704,0.2267,-5.367913148,0.1569,0,0.255,-42.14243673,0.1966,-24.54283805,,,,
COSIARCTTECSegment-RRT,COSIATEC,Segment,Z,RRT,CT,R,-14.60587326,0.1105,4.267912773,0.3347,0,0.1658,0,0.255,0,0.3398,-2.067592098,,,,
COSIARCTTECSegment,COSIATEC,Segment,Z,Z,CT,R,,0.1294,,0.321,,0.1658,,0.255,,0.3398,,,,,
ReCOSIARTECSegment-RRT,COSIATEC,Segment,RecurSIA,RRT,Z,R,-19.50092421,0.0871,-19.98755961,0.3859,-20.80227192,0.2231,-21.46518582,0.3677,-33.245065,0.2773,-23.00020131,,,,
ReCOSIARTECSegment,COSIATEC,Segment,RecurSIA,Z,Z,R,-36.87615527,0.0683,-33.94153017,0.3186,-18.63684771,0.2292,-21.46518582,0.3677,-37.89118922,0.258,-29.76218164,,,,
COSIARTECSegment-RRT,COSIATEC,Segment,Z,RRT,Z,R,17.19038817,0.1268,29.60812772,0.6251,-0.993965211,0.2789,0,0.4682,6.571978816,0.4427,10.4753059,,,,
COSIARTECSegment,COSIATEC,Segment,Z,Z,Z,R,,0.1082,,0.4823,,0.2817,,0.4682,,0.4154,,,,,
ReCOSIACTTECSegment-RRT,COSIATEC,Segment,RecurSIA,RRT,CT,Z,-38.33075734,0.0798,-29.78193146,0.2254,-5.367913148,0.1569,0,0.255,-40.70460705,0.2188,-22.8370418,,,,
ReCOSIACTTECSegment,COSIATEC,Segment,RecurSIA,Z,CT,Z,-45.82689335,0.0701,-29.37694704,0.2267,-5.367913148,0.1569,0,0.255,-45.09485095,0.2026,-25.1333209,,,,
COSIACTTECSegment-RRT,COSIATEC,Segment,Z,RRT,CT,Z,-14.60587326,0.1105,4.267912773,0.3347,0,0.1658,0,0.255,-0.189701897,0.3683,-2.105532477,,,,
COSIACTTECSegment,COSIATEC,Segment,Z,Z,CT,Z,,0.1294,,0.321,,0.1658,,0.255,,0.369,,,,,
ReCOSIATECSegment-RRT,COSIATEC,Segment,RecurSIA,RRT,Z,Z,-18.1897302,0.094,-33.75935731,0.3628,13.81411884,0.2241,-11.08312343,0.3883,-35.93580568,0.2954,-17.03077956,,,,
ReCOSIATECSegment,COSIATEC,Segment,RecurSIA,Z,Z,Z,-4.786771105,0.1094,-33.2116122,0.3658,-4.012188928,0.189,-11.08312343,0.3883,-36.49967469,0.2928,-17.91867407,,,,
COSIATECSegment-RRT,COSIATEC,Segment,Z,RRT,Z,Z,6.962576153,0.1229,-6.025196275,0.5147,22.09243271,0.2404,0,0.4367,2.992843201,0.4749,5.204531157,,,,
COSIATECSegment,COSIATEC,Segment,Z,Z,Z,Z,,0.1149,,0.5477,,0.1969,,0.4367,,0.4611,,,,,
ReForthRCTSegment-RRT,Forth,Segment,RecurSIA,RRT,CT,R,2.014098691,0.2026,-26.96488294,0.3494,-1.217861976,0.219,-5.234599425,0.2969,-32.11664735,0.3515,-12.7039786,,,,
ReForthRCTSegment,Forth,Segment,RecurSIA,Z,CT,R,-5.035246727,0.1886,-17.99749164,0.3923,-1.308073974,0.2188,-5.234599425,0.2969,-31.3634608,0.3554,-12.18777451,,,,
ForthRCTSegment-RRT,Forth,Segment,Z,RRT,CT,R,4.682779456,0.2079,-21.32107023,0.3764,0.180423996,0.2221,0,0.3133,1.139436076,0.5237,-3.063686141,,,,
ForthRCTSegment,Forth,Segment,Z,Z,CT,R,,0.1986,,0.4784,,0.2217,,0.3133,,0.5178,,,,,
ReForthRSegment-RRT,Forth,Segment,RecurSIA,RRT,Z,R,-14.52991453,0.17,11.18690314,0.326,11.8006993,0.2558,-13.40026189,0.1984,-12.67769075,0.301,-3.524052946,,,,
ReForthRSegment,Forth,Segment,RecurSIA,Z,Z,R,-22.22222222,0.1547,34.10641201,0.3932,10.48951049,0.2528,-13.40026189,0.1984,-4.612706701,0.3288,0.872146335,,,,
ForthRSegment-RRT,Forth,Segment,Z,RRT,Z,R,14.17797888,0.2271,-19.47476126,0.2361,-5.201048951,0.2169,0,0.2291,0,0.3447,-2.099566264,,,,
ForthRSegment,Forth,Segment,Z,Z,Z,R,,0.1989,,0.2932,,0.2288,,0.2291,,0.3447,,,,,
ReForthCTSegment-RRT,Forth,Segment,RecurSIA,RRT,CT,Z,2.014098691,0.2026,-26.96488294,0.3494,-1.217861976,0.219,-5.234599425,0.2969,-32.11664735,0.3515,-12.7039786,,,,
ReForthCTSegment,Forth,Segment,RecurSIA,Z,CT,Z,-5.035246727,0.1886,-17.99749164,0.3923,-1.308073974,0.2188,-5.234599425,0.2969,-31.3634608,0.3554,-12.18777451,,,,
ForthCTSegment-RRT,Forth,Segment,Z,RRT,CT,Z,4.682779456,0.2079,-21.32107023,0.3764,0.180423996,0.2221,0,0.3133,1.139436076,0.5237,-3.063686141,,,,
