Algorithm, Basic algorithm, Mode, RecurSIA, RRT, CT, R,Bach,Beethoven,Chopin,Gibbons,Mozart,,Average
ReForthR,Forth,Z,RecurSIA,Z,Z,R,0.178,0.1568,0.0713,0.1898,0.1705,6.5,0.15328
ReForthRCT,Forth,Z,RecurSIA,Z,CT,R,0.2217,0.2744,0.1174,0.2698,0.2707,7.5,0.2308
ReSIATECCompress,SIATECCompress,Z,RecurSIA,Z,Z,Z,0.1054,0.0626,0.0283,0.0998,0.0915,8.5,0.07752
ReSIACTTECCompress,SIATECCompress,Z,RecurSIA,Z,CT,Z,0.1057,0.0961,0.047,0.1457,0.1231,9.5,0.10352
ReSIARTECCompress,SIATECCompress,Z,RecurSIA,Z,Z,R,0.0686,0.0669,0.025,0.1317,0.0689,10.5,0.07222
ReSIARCTTECCompress,SIATECCompress,Z,RecurSIA,Z,CT,R,0.1057,0.0961,0.047,0.1457,0.1231,11.5,0.10352
ReCOSIATECSegment,COSIATEC,Segment,RecurSIA,Z,Z,Z,0.1094,0.3658,0.189,0.3883,0.2928,12.5,0.26906
ReCOSIACTTECSegment,COSIATEC,Segment,RecurSIA,Z,CT,Z,0.0701,0.2267,0.1569,0.255,0.2026,13.5,0.18226
ReCOSIARTECSegment,COSIATEC,Segment,RecurSIA,Z,Z,R,0.0683,0.3186,0.2292,0.3677,0.258,14.5,0.24836
ReCOSIARCTTECSegment,COSIATEC,Segment,RecurSIA,Z,CT,R,0.0701,0.2267,0.1569,0.255,0.1966,15.5,0.18106
ReForthSegment,Forth,Segment,RecurSIA,Z,Z,Z,0.1308,0.3096,0.2639,0.2206,0.3097,16.5,0.24692
ReForthCTSegment,Forth,Segment,RecurSIA,Z,CT,Z,0.1886,0.3923,0.2188,0.2969,0.3554,17.5,0.2904
ReForthRSegment,Forth,Segment,RecurSIA,Z,Z,R,0.1547,0.3932,0.2528,0.1984,0.3288,18.5,0.26558
ReForthRCTSegment,Forth,Segment,RecurSIA,Z,CT,R,0.1886,0.3923,0.2188,0.2969,0.3554,19.5,0.2904
ReSIATECCompressSegment,SIATECCompress,Segment,RecurSIA,Z,Z,Z,0.1753,0.3718,0.2333,0.3427,0.3303,20.5,0.29068
ReSIACTTECCompressSegment,SIATECCompress,Segment,RecurSIA,Z,CT,Z,0.0903,0.1747,0.1231,0.2083,0.2012,21.5,0.15952
ReSIARTECCompressSegment,SIATECCompress,Segment,RecurSIA,Z,Z,R,0.1053,0.3416,0.2676,0.3153,0.3271,22.5,0.27138
ReSIARCTTECCompressSegment,SIATECCompress,Segment,RecurSIA,Z,CT,R,0.0903,0.1747,0.1231,0.2083,0.2012,23.5,0.15952
ReCOSIATECBB,COSIATEC,BB,RecurSIA,Z,Z,Z,0.1168,0.2361,0.0797,0.2021,0.1698,24.5,0.1609
ReCOSIACTTECBB,COSIATEC,BB,RecurSIA,Z,CT,Z,0.0814,0.1234,0.0558,0.1593,0.1414,25.5,0.11226
ReCOSIARTECBB,COSIATEC,BB,RecurSIA,Z,Z,R,0.0696,0.1702,0.0919,0.1947,0.1533,26.5,0.13594
ReCOSIARCTTECBB,COSIATEC,BB,RecurSIA,Z,CT,R,0.0814,0.1234,0.0558,0.1593,0.138,27.5,0.11158
ReForthBB,Forth,BB,RecurSIA,Z,Z,Z,0.1312,0.2668,0.1812,0.2195,0.247,28.5,0.20914
ReForthCTBB,Forth,BB,RecurSIA,Z,CT,Z,0.2226,0.3687,0.2018,0.2927,0.3435,29.5,0.28586
ReForthRBB,Forth,BB,RecurSIA,Z,Z,R,0.1718,0.3495,0.1998,0.1922,0.2829,30.5,0.23924
ReForthRCTBB,Forth,BB,RecurSIA,Z,CT,R,0.2226,0.3687,0.2018,0.2927,0.3435,31.5,0.28586
ReSIATECCompressBB,SIATECCompress,BB,RecurSIA,Z,Z,Z,0.1466,0.221,0.1096,0.2165,0.2328,32.5,0.1853
ReSIACTTECCompressBB,SIATECCompress,BB,RecurSIA,Z,CT,Z,0.105,0.1552,0.0972,0.2112,0.1701,33.5,0.14774
ReSIARTECCompressBB,SIATECCompress,BB,RecurSIA,Z,Z,R,0.0951,0.2091,0.1376,0.2585,0.1979,34.5,0.17964
ReSIARCTTECCompressBB,SIATECCompress,BB,RecurSIA,Z,CT,R,0.105,0.1552,0.0972,0.2112,0.1701,35.5,0.14774
COSIATEC-RRT,COSIATEC,Z,Z,RRT,Z,Z,0.115,0.0708,0.0228,0.1064,0.139,0.5,0.0908
COSIACTTEC-RRT,COSIATEC,Z,Z,RRT,CT,Z,0.156,0.1078,0.0306,0.1314,0.2094,1.5,0.12704
COSIARTEC-RRT,COSIATEC,Z,Z,RRT,Z,R,0.1246,0.0766,0.0218,0.0959,0.1072,2.5,0.08522
COSIARCTTEC-RRT,COSIATEC,Z,Z,RRT,CT,R,0.156,0.1078,0.0306,0.1314,0.1934,3.5,0.12384
Forth-RRT,Forth,Z,Z,RRT,Z,Z,0.1276,0.1956,0.0694,0.3141,0.166,4.5,0.17454
ForthCT-RRT,Forth,Z,Z,RRT,CT,Z,0.2569,0.3314,0.1526,0.3285,0.4745,5.5,0.30878
ForthR-RRT,Forth,Z,Z,RRT,Z,R,0.2574,0.1338,0.0708,0.2778,0.2174,6.5,0.19144
ForthRCT-RRT,Forth,Z,Z,RRT,CT,R,0.2569,0.3314,0.1526,0.3285,0.4745,7.5,0.30878
SIATECCompress-RRT,SIATECCompress,Z,Z,RRT,Z,Z,0.172,0.1366,0.0582,0.1381,0.1671,8.5,0.1344
