Algorithm, Bach, Beet, Chop, Gbns, Mzrt
Algorithm 1  COSIATEC-MIN-3, 0.11436, 0.12038, 0.03946, 0.12417, 0.15423
Algorithm 2  COSIATEC-MIN-4, 0.13761, 0.13533, 0.04299, 0.13267, 0.16532
Algorithm 3  COSIATEC, 0.11042, 0.09877, 0.03112, 0.10636, 0.14719
