Algorithm, Basic algorithm, Mode, RecurSIA, RRT, CT, R,Bach,Beethoven,Chopin,Gibbons,Mozart
ReCOSIACTTECSegment-RRT,COSIATEC,Segment,RecurSIA,RRT,CT,,0.3402,0.5936,0.7066,0.4846,0.5786
ReCOSIARCTTEC,COSIATEC,,RecurSIA,,CT,R,0.8180,0.1948,0.2098,0.3152,0.4002
ReCOSIARCTTEC-RRT,COSIATEC,,RecurSIA,RRT,CT,R,0.4694,0.2034,0.2098,0.3152,0.4002
ReCOSIARCTTECBB,COSIATEC,BB,RecurSIA,,CT,R,0.7537,0.2634,0.3293,0.3400,0.4460
ReCOSIARCTTECBB-RRT,COSIATEC,BB,RecurSIA,RRT,CT,R,0.4316,0.2970,0.3293,0.3400,0.4460
ReCOSIARCTTECSegment,COSIATEC,Segment,RecurSIA,,CT,R,0.4516,0.5896,0.7066,0.4846,0.5757
ReCOSIARCTTECSegment-RRT,COSIATEC,Segment,RecurSIA,RRT,CT,R,0.3402,0.5936,0.7066,0.4846,0.5780
ReCOSIARTEC,COSIATEC,,RecurSIA,,,R,0.6877,0.1960,0.1490,0.1452,0.3290
ReCOSIARTEC-RRT,COSIATEC,,RecurSIA,RRT,,R,0.4762,0.1636,0.1485,0.1452,0.3109
ReCOSIARTECBB,COSIATEC,BB,RecurSIA,,,R,0.6280,0.4894,0.5501,0.3386,0.4784
ReCOSIARTECBB-RRT,COSIATEC,BB,RecurSIA,RRT,,R,0.4920,0.5662,0.4958,0.3386,0.5062
ReCOSIARTECSegment,COSIATEC,Segment,RecurSIA,,,R,0.4471,0.6629,0.7946,0.3598,0.6258
ReCOSIARTECSegment-RRT,COSIATEC,Segment,RecurSIA,RRT,,R,0.3417,0.7548,0.7925,0.3598,0.6815
ReCOSIATEC,COSIATEC,,RecurSIA,,,,0.5766,0.1978,0.2635,0.2009,0.3725
ReCOSIATEC-RRT,COSIATEC,,RecurSIA,RRT,,,0.4762,0.1633,0.1682,0.2009,0.3725
ReCOSIATECBB,COSIATEC,BB,RecurSIA,,,,0.5158,0.6786,0.5744,0.3260,0.5510
ReCOSIATECBB-RRT,COSIATEC,BB,RecurSIA,RRT,,,0.4920,0.4891,0.3961,0.3260,0.5574
ReCOSIATECSegment,COSIATEC,Segment,RecurSIA,,,,0.4210,0.8380,0.8001,0.3437,0.6925
ReCOSIATECSegment-RRT,COSIATEC,Segment,RecurSIA,RRT,,,0.3417,0.7594,0.6793,0.3437,0.6953
ReForth,Forth,,RecurSIA,,,,0.2157,0.4938,0.3354,0.3154,0.3996
ReForth-RRT,Forth,,RecurSIA,RRT,,,0.1692,0.4287,0.3338,0.3154,0.4001
ReForthBB,Forth,BB,RecurSIA,,,,0.2148,0.6555,0.4689,0.2552,0.5444
ReForthBB-RRT,Forth,BB,RecurSIA,RRT,,,0.1816,0.6627,0.4767,0.2552,0.5444
ReForthCT,Forth,,RecurSIA,,CT,,0.5468,0.7314,0.4843,0.3362,0.6725
ReForthCT-RRT,Forth,,RecurSIA,RRT,CT,,0.6066,0.5804,0.4843,0.3362,0.6725
ReForthCTBB,Forth,BB,RecurSIA,,CT,,0.5200,0.8431,0.7356,0.3228,0.7238
ReForthCTBB-RRT,Forth,BB,RecurSIA,RRT,CT,,0.6003,0.7422,0.7356,0.3228,0.7238
ReForthCTSegment,Forth,Segment,RecurSIA,,CT,,0.3867,0.8422,0.7543,0.3258,0.7374
ReForthCTSegment-RRT,Forth,Segment,RecurSIA,RRT,CT,,0.4418,0.7411,0.7543,0.3258,0.7374
ReForthR,Forth,,RecurSIA,,,R,0.4323,0.4122,0.3101,0.3209,0.4159
ReForthR-RRT,Forth,,RecurSIA,RRT,,R,0.4323,0.4028,0.3155,0.3209,0.4148
ReForthRBB,Forth,BB,RecurSIA,,,R,0.4018,0.8120,0.4725,0.2529,0.5360
ReForthRBB-RRT,Forth,BB,RecurSIA,RRT,,R,0.4018,0.6688,0.4725,0.2529,0.5149
ReForthRCT,Forth,,RecurSIA,,CT,R,0.5468,0.7314,0.4843,0.3362,0.6725
ReForthRCT-RRT,Forth,,RecurSIA,RRT,CT,R,0.6066,0.5804,0.4843,0.3362,0.6725
ReForthRCTBB,Forth,BB,RecurSIA,,CT,R,0.5200,0.8431,0.7356,0.3228,0.7238
ReForthRCTBB-RRT,Forth,BB,RecurSIA,RRT,CT,R,0.6003,0.7422,0.7356,0.3228,0.7238
ReForthRCTSegment,Forth,Segment,RecurSIA,,CT,R,0.3867,0.8422,0.7543,0.3258,0.7374
ReForthRCTSegment-RRT,Forth,Segment,RecurSIA,RRT,CT,R,0.4418,0.7411,0.7543,0.3258,0.7374
ReForthRSegment,Forth,Segment,RecurSIA,,,R,0.3661,0.8507,0.5146,0.2581,0.5865
ReForthRSegment-RRT,Forth,Segment,RecurSIA,RRT,,R,0.3661,0.7080,0.5119,0.2581,0.5594
ReForthSegment,Forth,Segment,RecurSIA,,,,0.2844,0.6777,0.5695,0.2496,0.5924
ReForthSegment-RRT,Forth,Segment,RecurSIA,RRT,,,0.2909,0.6700,0.5478,0.2496,0.5957
ReSIACTTECCompress,SIATECCompress,,RecurSIA,,CT,,0.7679,0.3566,0.2098,0.2817,0.5178
ReSIACTTECCompress-RRT,SIATECCompress,,RecurSIA,RRT,CT,,0.7199,0.3554,0.2098,0.2668,0.5178
ReSIACTTECCompressBB,SIATECCompress,BB,RecurSIA,,CT,,0.7378,0.7694,0.5600,0.4411,0.6588
ReSIACTTECCompressBB-RRT,SIATECCompress,BB,RecurSIA,RRT,CT,,0.6984,0.7694,0.5600,0.4591,0.6588
ReSIACTTECCompressSegment,SIATECCompress,Segment,RecurSIA,,CT,,0.4741,0.7790,0.7414,0.4109,0.7028
ReSIACTTECCompressSegment-RRT,SIATECCompress,Segment,RecurSIA,RRT,CT,,0.4360,0.7790,0.7414,0.4259,0.7028
ReSIARCTTECCompress,SIATECCompress,,RecurSIA,,CT,R,0.7679,0.3566,0.2098,0.2817,0.5178
ReSIARCTTECCompress-RRT,SIATECCompress,,RecurSIA,RRT,CT,R,0.7199,0.3554,0.2098,0.2668,0.5178
ReSIARCTTECCompressBB,SIATECCompress,BB,RecurSIA,,CT,R,0.7378,0.7694,0.5600,0.4411,0.6588
ReSIARCTTECCompressBB-RRT,SIATECCompress,BB,RecurSIA,RRT,CT,R,0.6984,0.7694,0.5600,0.4591,0.6588
ReSIARCTTECCompressSegment,SIATECCompress,Segment,RecurSIA,,CT,R,0.4741,0.7790,0.7414,0.4109,0.7028
ReSIARCTTECCompressSegment-RRT,SIATECCompress,Segment,RecurSIA,RRT,CT,R,0.4360,0.7790,0.7414,0.4259,0.7028
ReSIARTECCompress,SIATECCompress,,RecurSIA,,,R,0.4401,0.2369,0.1660,0.2853,0.2991
ReSIARTECCompress-RRT,SIATECCompress,,RecurSIA,RRT,,R,0.4629,0.2366,0.1681,0.2853,0.2932
ReSIARTECCompressBB,SIATECCompress,BB,RecurSIA,,,R,0.4201,0.6018,0.6554,0.4799,0.5376
ReSIARTECCompressBB-RRT,SIATECCompress,BB,RecurSIA,RRT,,R,0.4615,0.6029,0.6896,0.4799,0.5494
ReSIARTECCompressSegment,SIATECCompress,Segment,RecurSIA,,,R,0.3423,0.7375,0.8534,0.4139,0.6540
ReSIARTECCompressSegment-RRT,SIATECCompress,Segment,RecurSIA,RRT,,R,0.3674,0.7982,0.8641,0.4139,0.6430
ReSIATECCompress,SIATECCompress,,RecurSIA,,,,0.4266,0.2420,0.2206,0.2691,0.3476
ReSIATECCompress-RRT,SIATECCompress,,RecurSIA,RRT,,,0.5126,0.2323,0.2062,0.2691,0.3502
ReSIATECCompressBB,SIATECCompress,BB,RecurSIA,,,,0.4517,0.6164,0.5695,0.3586,0.5777
ReSIATECCompressBB-RRT,SIATECCompress,BB,RecurSIA,RRT,,,0.4763,0.5852,0.5842,0.3586,0.5685
ReSIATECCompressSegment,SIATECCompress,Segment,RecurSIA,,,,0.4289,0.7872,0.8821,0.3693,0.6454
ReSIATECCompressSegment-RRT,SIATECCompress,Segment,RecurSIA,RRT,,,0.4289,0.7541,0.8614,0.3693,0.6534
SIACTTECCompress,SIATECCompress,,,,CT,,0.6501,0.3349,0.2098,0.2725,0.5178
SIACTTECCompress-RRT,SIATECCompress,,,RRT,CT,,0.6021,0.3341,0.2098,0.2576,0.5178
SIACTTECCompressBB,SIATECCompress,BB,,,CT,,0.6183,0.3940,0.3654,0.3575,0.5422
SIACTTECCompressBB-RRT,SIATECCompress,BB,,RRT,CT,,0.5788,0.3916,0.3654,0.3497,0.5422
SIACTTECCompressSegment,SIATECCompress,Segment,,,CT,,0.4741,0.3994,0.5273,0.3267,0.5416
SIACTTECCompressSegment-RRT,SIATECCompress,Segment,,RRT,CT,,0.4360,0.4125,0.5273,0.3147,0.5416
SIARCTTECCompress,SIATECCompress,,,,CT,R,0.6501,0.3349,0.2098,0.2725,0.5178
SIARCTTECCompress-RRT,SIATECCompress,,,RRT,CT,R,0.6021,0.3341,0.2098,0.2576,0.5178
SIARCTTECCompressBB,SIATECCompress,BB,,,CT,R,0.6183,0.3940,0.3654,0.3575,0.5422
SIARCTTECCompressBB-RRT,SIATECCompress,BB,,RRT,CT,R,0.5788,0.3916,0.3654,0.3497,0.5422
SIARCTTECCompressSegment,SIATECCompress,Segment,,,CT,R,0.4741,0.3994,0.5273,0.3267,0.5416
SIARCTTECCompressSegment-RRT,SIATECCompress,Segment,,RRT,CT,R,0.4360,0.4125,0.5273,0.3147,0.5416
SIARTECCompress,SIATECCompress,,,,,R,0.4015,0.2369,0.1660,0.2475,0.2991
SIARTECCompress-RRT,SIATECCompress,,,RRT,,R,0.4357,0.2366,0.1681,0.2475,0.2932
SIARTECCompressBB,SIATECCompress,BB,,,,R,0.3848,0.5622,0.6554,0.3596,0.5348
SIARTECCompressBB-RRT,SIATECCompress,BB,,RRT,,R,0.4169,0.5516,0.6896,0.3596,0.5188
SIARTECCompressSegment,SIATECCompress,Segment,,,,R,0.3423,0.6839,0.8534,0.3528,0.6342
SIARTECCompressSegment-RRT,SIATECCompress,Segment,,RRT,,R,0.3674,0.6814,0.8641,0.3528,0.6144
SIATECCompress,SIATECCompress,,,,,,0.4172,0.2420,0.2206,0.2691,0.3476
SIATECCompress-RRT,SIATECCompress,,,RRT,,,0.5126,0.2323,0.2062,0.2691,0.3502
SIATECCompressBB,SIATECCompress,BB,,,,,0.4500,0.6164,0.5695,0.3543,0.5439
SIATECCompressBB-RRT,SIATECCompress,BB,,RRT,,,0.4763,0.5685,0.5842,0.3543,0.5163
SIATECCompressSegment,SIATECCompress,Segment,,,,,0.4289,0.7461,0.8236,0.3447,0.5811
SIATECCompressSegment-RRT,SIATECCompress,Segment,,RRT,,,0.4289,0.7301,0.8342,0.3447,0.5754
