Algorithm,Bach,Beethoven,Chopin,Gibbons,Mozart
ReForthRCT-RRT,1.7873,3.1260,1.9320,1.7713,3.2537
ReForthRCTBB,1.6281,2.3882,1.9195,1.7713,3.1767
ReForthRCTBB-RRT,1.7873,3.1260,1.9320,1.7713,3.2537
ReForthRCTSegment,1.6281,2.3882,1.9195,1.7713,3.1767
ReForthRCTSegment-RRT,1.7873,3.1260,1.9320,1.7713,3.2537
ReForthRSegment,2.0826,1.3906,1.1898,1.1327,1.6089
ReForthRSegment-RRT,2.1066,1.1276,1.2440,1.1327,1.6284
ReForthSegment,1.2327,0.8427,1.1382,1.1978,1.6376
ReForthSegment-RRT,1.1585,0.9891,1.2271,1.1978,1.5475
ReSIACTTECCompress,1.7322,2.7125,1.9990,1.5275,2.8312
ReSIACTTECCompress-RRT,1.8184,2.8748,2.0010,1.5346,2.8874
ReSIACTTECCompressBB,1.7322,2.7125,1.9990,1.5275,2.8312
ReSIACTTECCompressBB-RRT,1.8184,2.8748,2.0010,1.5346,2.8874
ReSIACTTECCompressSegment,1.7322,2.7125,1.9990,1.5275,2.8312
ReSIACTTECCompressSegment-RRT,1.8184,2.8748,2.0010,1.5346,2.8874
ReSIARCTTECCompress,1.7322,2.7125,1.9990,1.5275,2.8312
ReSIARCTTECCompress-RRT,1.8184,2.8748,2.0010,1.5346,2.8874
ReSIARCTTECCompressBB,1.7322,2.7125,1.9990,1.5275,2.8312
ReSIARCTTECCompressBB-RRT,1.8184,2.8748,2.0010,1.5346,2.8874
ReSIARCTTECCompressSegment,1.7322,2.7125,1.9990,1.5275,2.8312
ReSIARCTTECCompressSegment-RRT,1.8184,2.8748,2.0010,1.5346,2.8874
ReSIARTECCompress,1.8367,2.0317,1.7857,1.5136,1.7616
ReSIARTECCompress-RRT,1.9704,2.1421,1.8643,1.5136,1.8339
ReSIARTECCompressBB,1.8367,2.0317,1.7857,1.5136,1.7616
ReSIARTECCompressBB-RRT,1.9704,2.1421,1.8643,1.5136,1.8339
ReSIARTECCompressSegment,1.8367,2.0317,1.7857,1.5136,1.7616
ReSIARTECCompressSegment-RRT,1.9704,2.1421,1.8643,1.5136,1.8339
ReSIATECCompress,1.9136,2.0290,1.8527,1.5417,2.6464
ReSIATECCompress-RRT,1.9864,2.2003,1.8012,1.5417,2.6505
ReSIATECCompressBB,1.9136,2.0290,1.8527,1.5417,2.6464
