Algorithm,Bach,Beethoven,Chopin,Gibbons,Mozart
ReSIACTTECCompressSegment,0.15,0.19,0.15,0.18,0.28
ReSIACTTECCompressSegment-RRT,0.13,0.19,0.15,0.17,0.28
ReSIARCTTECCompress,0.18,0.14,0.08,0.15,0.22
ReSIARCTTECCompress-RRT,0.15,0.14,0.08,0.14,0.22
ReSIARCTTECCompressBB,0.18,0.17,0.11,0.18,0.26
ReSIARCTTECCompressBB-RRT,0.15,0.17,0.11,0.18,0.26
ReSIARCTTECCompressSegment,0.15,0.19,0.15,0.18,0.28
ReSIARCTTECCompressSegment-RRT,0.13,0.19,0.15,0.17,0.28
ReSIARTECCompress,0.12,0.15,0.06,0.14,0.13
ReSIARTECCompress-RRT,0.17,0.15,0.06,0.14,0.13
ReSIARTECCompressBB,0.19,0.42,0.28,0.28,0.34
ReSIARTECCompressBB-RRT,0.20,0.42,0.28,0.28,0.35
ReSIARTECCompressSegment,0.19,0.55,0.47,0.42,0.50
ReSIARTECCompressSegment-RRT,0.20,0.57,0.48,0.42,0.51
ReSIATECCompress,0.14,0.14,0.07,0.14,0.18
ReSIATECCompress-RRT,0.17,0.14,0.06,0.14,0.17
ReSIATECCompressBB,0.19,0.40,0.24,0.30,0.42
ReSIATECCompressBB-RRT,0.21,0.38,0.24,0.30,0.39
ReSIATECCompressSegment,0.21,0.57,0.42,0.47,0.53
ReSIATECCompressSegment-RRT,0.22,0.53,0.41,0.47,0.52
SIACTTECCompress,0.18,0.14,0.08,0.15,0.22
SIACTTECCompress-RRT,0.15,0.14,0.08,0.14,0.22
SIACTTECCompressBB,0.18,0.17,0.11,0.18,0.26
SIACTTECCompressBB-RRT,0.15,0.17,0.11,0.18,0.26
SIACTTECCompressSegment,0.15,0.19,0.15,0.18,0.28
SIACTTECCompressSegment-RRT,0.13,0.19,0.15,0.17,0.28
SIARCTTECCompress,0.18,0.14,0.08,0.15,0.22
SIARCTTECCompress-RRT,0.15,0.14,0.08,0.14,0.22
SIARCTTECCompressBB,0.18,0.17,0.11,0.18,0.26
SIARCTTECCompressBB-RRT,0.15,0.17,0.11,0.18,0.26
SIARCTTECCompressSegment,0.15,0.19,0.15,0.18,0.28
SIARCTTECCompressSegment-RRT,0.13,0.19,0.15,0.17,0.28
SIARTECCompress,0.12,0.15,0.06,0.14,0.13
SIARTECCompress-RRT,0.17,0.15,0.06,0.14,0.13
SIARTECCompressBB,0.19,0.42,0.28,0.28,0.34
SIARTECCompressBB-RRT,0.20,0.42,0.28,0.28,0.35
SIARTECCompressSegment,0.19,0.55,0.47,0.42,0.50
SIARTECCompressSegment-RRT,0.20,0.57,0.48,0.42,0.51
SIATECCompress,0.14,0.14,0.07,0.14,0.18
SIATECCompress-RRT,0.17,0.14,0.06,0.14,0.17
SIATECCompressBB,0.19,0.40,0.24,0.30,0.42
SIATECCompressBB-RRT,0.21,0.38,0.24,0.30,0.39
SIATECCompressSegment,0.21,0.57,0.42,0.47,0.53
SIATECCompressSegment-RRT,0.22,0.53,0.41,0.47,0.52
