Algorithm, Basic algorithm, Mode, RecurSIA, RRT, CT, R,Bach,Beethoven,Chopin,Gibbons,Mozart
COSIACTTEC,COSIATEC,,,,CT,,0.1605,0.1041,0.0324,0.1314,0.2101
COSIACTTEC-RRT,COSIATEC,,,RRT,CT,,0.1560,0.1078,0.0324,0.1314,0.2094
COSIACTTECBB,COSIATEC,BB,,,CT,,0.1543,0.1645,0.0645,0.1593,0.2599
COSIACTTECBB-RRT,COSIATEC,BB,,RRT,CT,,0.1525,0.1792,0.0645,0.1593,0.2585
COSIACTTECSegment,COSIATEC,Segment,,,CT,,0.1294,0.3210,0.1660,0.2550,0.3690
COSIACTTECSegment-RRT,COSIATEC,Segment,,RRT,CT,,0.1105,0.3347,0.1660,0.2550,0.3683
COSIARCTTEC,COSIATEC,,,,CT,R,0.1605,0.1041,0.0324,0.1314,0.1940
COSIARCTTEC-RRT,COSIATEC,,,RRT,CT,R,0.1560,0.1078,0.0324,0.1314,0.1934
COSIARCTTECBB,COSIATEC,BB,,,CT,R,0.1543,0.1645,0.0645,0.1593,0.2413
COSIARCTTECBB-RRT,COSIATEC,BB,,RRT,CT,R,0.1525,0.1792,0.0645,0.1593,0.2399
COSIARCTTECSegment,COSIATEC,Segment,,,CT,R,0.1294,0.3210,0.1660,0.2550,0.3398
COSIARCTTECSegment-RRT,COSIATEC,Segment,,RRT,CT,R,0.1105,0.3347,0.1660,0.2550,0.3398
COSIARTEC,COSIATEC,,,,,R,0.1098,0.0883,0.0214,0.0959,0.1173
COSIARTEC-RRT,COSIATEC,,,RRT,,R,0.1246,0.0766,0.0240,0.0959,0.1072
COSIARTECBB,COSIATEC,BB,,,,R,0.1127,0.2564,0.1197,0.2491,0.2556
COSIARTECBB-RRT,COSIATEC,BB,,RRT,,R,0.1406,0.3219,0.1127,0.2491,0.2125
COSIARTECSegment,COSIATEC,Segment,,,,R,0.1082,0.4823,0.2819,0.4682,0.4154
COSIARTECSegment-RRT,COSIATEC,Segment,,RRT,,R,0.1268,0.6251,0.2790,0.4682,0.4427
COSIATEC,COSIATEC,,,,,,0.1104,0.0988,0.0329,0.1064,0.1477
COSIATEC-RRT,COSIATEC,,,RRT,,,0.1150,0.0708,0.0235,0.1064,0.1390
COSIATECBB,COSIATEC,BB,,,,,0.1222,0.3393,0.0931,0.2231,0.2724
COSIATECBB-RRT,COSIATEC,BB,,RRT,,,0.1350,0.2447,0.0905,0.2231,0.2794
COSIATECSegment,COSIATEC,Segment,,,,,0.1149,0.5477,0.1972,0.4367,0.4611
COSIATECSegment-RRT,COSIATEC,Segment,,RRT,,,0.1229,0.5147,0.2405,0.4367,0.4749
