Algorithm,Bach,Beethoven,Chopin,Gibbons,Mozart
ReSIACTTECCompressSegment,0.23,0.25,0.23,0.23,0.37
ReSIACTTECCompressSegment-RRT,0.20,0.26,0.23,0.22,0.37
ReSIARCTTECCompress,0.28,0.20,0.12,0.19,0.31
ReSIARCTTECCompress-RRT,0.24,0.20,0.12,0.19,0.31
ReSIARCTTECCompressBB,0.27,0.24,0.17,0.24,0.35
ReSIARCTTECCompressBB-RRT,0.24,0.24,0.17,0.23,0.35
ReSIARCTTECCompressSegment,0.23,0.25,0.23,0.23,0.37
ReSIARCTTECCompressSegment-RRT,0.20,0.26,0.23,0.22,0.37
ReSIARTECCompress,0.19,0.18,0.09,0.18,0.18
ReSIARTECCompress-RRT,0.25,0.18,0.10,0.18,0.18
ReSIARTECCompressBB,0.25,0.48,0.39,0.32,0.42
ReSIARTECCompressBB-RRT,0.27,0.48,0.39,0.32,0.42
ReSIARTECCompressSegment,0.24,0.61,0.60,0.39,0.56
ReSIARTECCompressSegment-RRT,0.26,0.62,0.61,0.39,0.56
ReSIATECCompress,0.21,0.18,0.11,0.18,0.24
ReSIATECCompress-RRT,0.26,0.17,0.10,0.18,0.23
ReSIATECCompressBB,0.27,0.49,0.34,0.32,0.47
ReSIATECCompressBB-RRT,0.29,0.46,0.34,0.32,0.45
ReSIATECCompressSegment,0.28,0.65,0.55,0.40,0.56
ReSIATECCompressSegment-RRT,0.29,0.62,0.55,0.40,0.55
SIACTTECCompress,0.28,0.20,0.12,0.19,0.31
SIACTTECCompress-RRT,0.24,0.20,0.12,0.19,0.31
SIACTTECCompressBB,0.27,0.24,0.17,0.24,0.35
SIACTTECCompressBB-RRT,0.24,0.24,0.17,0.23,0.35
SIACTTECCompressSegment,0.23,0.25,0.23,0.23,0.37
SIACTTECCompressSegment-RRT,0.20,0.26,0.23,0.22,0.37
SIARCTTECCompress,0.28,0.20,0.12,0.19,0.31
SIARCTTECCompress-RRT,0.24,0.20,0.12,0.19,0.31
SIARCTTECCompressBB,0.27,0.24,0.17,0.24,0.35
SIARCTTECCompressBB-RRT,0.24,0.24,0.17,0.23,0.35
SIARCTTECCompressSegment,0.23,0.25,0.23,0.23,0.37
SIARCTTECCompressSegment-RRT,0.20,0.26,0.23,0.22,0.37
SIARTECCompress,0.19,0.18,0.09,0.18,0.18
SIARTECCompress-RRT,0.25,0.18,0.10,0.18,0.18
SIARTECCompressBB,0.25,0.48,0.39,0.32,0.42
SIARTECCompressBB-RRT,0.27,0.48,0.39,0.32,0.42
SIARTECCompressSegment,0.24,0.61,0.60,0.39,0.56
SIARTECCompressSegment-RRT,0.26,0.62,0.61,0.39,0.56
SIATECCompress,0.21,0.18,0.11,0.18,0.24
SIATECCompress-RRT,0.26,0.17,0.10,0.18,0.23
SIATECCompressBB,0.27,0.49,0.34,0.32,0.47
SIATECCompressBB-RRT,0.29,0.46,0.34,0.32,0.45
SIATECCompressSegment,0.28,0.65,0.55,0.40,0.56
SIATECCompressSegment-RRT,0.29,0.62,0.55,0.40,0.55
