Algorithm, Basic algorithm, Mode, RecurSIA, RRT, CT, R,Bach,Beethoven,Chopin,Gibbons,Mozart
ReCOSIARTECSegment,COSIATEC,Segment,RecurSIA,,,R,10511,63912,200431,677,157876
ReCOSIARTECSegment-RRT,COSIATEC,Segment,RecurSIA,RRT,,R,9552,88630,199708,770,120601
ReCOSIATEC,COSIATEC,,RecurSIA,,,,15290,79007,334656,695,220424
ReCOSIATEC-RRT,COSIATEC,,RecurSIA,RRT,,,12555,81128,336422,829,213875
ReCOSIATECBB,COSIATEC,BB,RecurSIA,,,,13608,70279,299155,666,231369
ReCOSIATECBB-RRT,COSIATEC,BB,RecurSIA,RRT,,,12664,81328,336510,768,211125
ReCOSIATECSegment,COSIATEC,Segment,RecurSIA,,,,13524,69862,320891,644,200523
ReCOSIATECSegment-RRT,COSIATEC,Segment,RecurSIA,RRT,,,12514,81424,338546,786,210501
ReForth,Forth,,RecurSIA,,,,6074,34409,160072,574,86515
ReForth-RRT,Forth,,RecurSIA,RRT,,,6025,35603,163520,579,87532
ReForthBB,Forth,BB,RecurSIA,,,,6040,34241,158190,535,86884
ReForthBB-RRT,Forth,BB,RecurSIA,RRT,,,6008,35748,160255,529,87534
ReForthCT,Forth,,RecurSIA,,CT,,400,2576,5210,65,3143
ReForthCT-RRT,Forth,,RecurSIA,RRT,CT,,450,2514,5380,66,3119
ReForthCTBB,Forth,BB,RecurSIA,,CT,,399,2475,5415,64,3075
ReForthCTBB-RRT,Forth,BB,RecurSIA,RRT,CT,,419,2514,5416,64,3091
ReForthCTSegment,Forth,Segment,RecurSIA,,CT,,407,2475,5240,66,3148
ReForthCTSegment-RRT,Forth,Segment,RecurSIA,RRT,CT,,459,2536,5385,65,3109
ReForthR,Forth,,RecurSIA,,,R,4892,30769,58356,436,41821
ReForthR-RRT,Forth,,RecurSIA,RRT,,R,4902,32063,65967,455,43123
ReForthRBB,Forth,BB,RecurSIA,,,R,4874,30719,60938,494,43132
ReForthRBB-RRT,Forth,BB,RecurSIA,RRT,,R,4965,32209,63996,454,44567
ReForthRCT,Forth,,RecurSIA,,CT,R,1899,9131,14664,180,11638
ReForthRCT-RRT,Forth,,RecurSIA,RRT,CT,R,1857,9059,14927,237,11576
ReForthRCTBB,Forth,BB,RecurSIA,,CT,R,1840,8949,14640,200,11585
ReForthRCTBB-RRT,Forth,BB,RecurSIA,RRT,CT,R,1849,9143,15259,202,11541
ReForthRCTSegment,Forth,Segment,RecurSIA,,CT,R,1845,9103,14684,185,11551
ReForthRCTSegment-RRT,Forth,Segment,RecurSIA,RRT,CT,R,1826,9110,14699,187,11750
ReForthRSegment,Forth,Segment,RecurSIA,,,R,4988,31062,62414,469,42401
ReForthRSegment-RRT,Forth,Segment,RecurSIA,RRT,,R,4953,31669,64383,454,43173
ReForthSegment,Forth,Segment,RecurSIA,,,,5938,34500,159028,513,86040
ReForthSegment-RRT,Forth,Segment,RecurSIA,RRT,,,6071,35578,162190,601,87194
ReSIACTTECCompress,SIATECCompress,,RecurSIA,,CT,,520,2547,5186,67,3172
ReSIACTTECCompress-RRT,SIATECCompress,,RecurSIA,RRT,CT,,481,2639,5398,69,3232
ReSIACTTECCompressBB,SIATECCompress,BB,RecurSIA,,CT,,478,2491,5232,63,3193
ReSIACTTECCompressBB-RRT,SIATECCompress,BB,RecurSIA,RRT,CT,,492,2624,5322,69,3188
ReSIACTTECCompressSegment,SIATECCompress,Segment,RecurSIA,,CT,,458,2562,5173,63,3222
ReSIACTTECCompressSegment-RRT,SIATECCompress,Segment,RecurSIA,RRT,CT,,475,2630,5285,69,3285
ReSIARCTTECCompress,SIATECCompress,,RecurSIA,,CT,R,1903,9353,14982,225,11775
ReSIARCTTECCompress-RRT,SIATECCompress,,RecurSIA,RRT,CT,R,1916,9526,15039,183,11717
ReSIARCTTECCompressBB,SIATECCompress,BB,RecurSIA,,CT,R,1902,9236,14961,180,11647
ReSIARCTTECCompressBB-RRT,SIATECCompress,BB,RecurSIA,RRT,CT,R,1915,9483,15628,244,11656
ReSIARCTTECCompressSegment,SIATECCompress,Segment,RecurSIA,,CT,R,1898,9123,15323,177,11561
ReSIARCTTECCompressSegment-RRT,SIATECCompress,Segment,RecurSIA,RRT,CT,R,1924,9414,15233,236,12096
ReSIARTECCompress,SIATECCompress,,RecurSIA,,,R,5966,49901,96929,559,60667
ReSIARTECCompress-RRT,SIATECCompress,,RecurSIA,RRT,,R,6066,51856,102721,659,61834
ReSIARTECCompressBB,SIATECCompress,BB,RecurSIA,,,R,5898,49826,98349,550,60733
ReSIARTECCompressBB-RRT,SIATECCompress,BB,RecurSIA,RRT,,R,6131,51583,102885,594,62031
ReSIARTECCompressSegment,SIATECCompress,Segment,RecurSIA,,,R,6016,50024,98135,585,60493
ReSIARTECCompressSegment-RRT,SIATECCompress,Segment,RecurSIA,RRT,,R,6147,51729,102093,587,61886
ReSIATECCompress,SIATECCompress,,RecurSIA,,,,7439,52133,178118,659,100893
ReSIATECCompress-RRT,SIATECCompress,,RecurSIA,RRT,,,7699,53603,185724,726,102655
ReSIATECCompressBB,SIATECCompress,BB,RecurSIA,,,,7434,51976,175794,623,100905
ReSIATECCompressBB-RRT,SIATECCompress,BB,RecurSIA,RRT,,,7735,54178,185418,689,102935
ReSIATECCompressSegment,SIATECCompress,Segment,RecurSIA,,,,7443,52092,176815,622,99957
ReSIATECCompressSegment-RRT,SIATECCompress,Segment,RecurSIA,RRT,,,7878,54113,184972,720,102237
SIACTTECCompress,SIATECCompress,,,,CT,,463,2651,5366,134,3154
SIACTTECCompress-RRT,SIATECCompress,,,RRT,CT,,501,2641,5284,113,3138
SIACTTECCompressBB,SIATECCompress,BB,,,CT,,454,2580,5188,84,3184
SIACTTECCompressBB-RRT,SIATECCompress,BB,,RRT,CT,,488,2644,5295,70,3256
SIACTTECCompressSegment,SIATECCompress,Segment,,,CT,,453,2563,5185,74,3234
SIACTTECCompressSegment-RRT,SIATECCompress,Segment,,RRT,CT,,483,2664,5368,82,3207
SIARCTTECCompress,SIATECCompress,,,,CT,R,1902,9285,14966,192,11840
SIARCTTECCompress-RRT,SIATECCompress,,,RRT,CT,R,1919,9292,15064,215,11647
SIARCTTECCompressBB,SIATECCompress,BB,,,CT,R,1911,9125,14858,206,11669
SIARCTTECCompressBB-RRT,SIATECCompress,BB,,RRT,CT,R,1927,9369,15089,204,11635
SIARCTTECCompressSegment,SIATECCompress,Segment,,,CT,R,1903,9303,14943,207,11560
SIARCTTECCompressSegment-RRT,SIATECCompress,Segment,,RRT,CT,R,1912,9400,15100,188,11651
SIARTECCompress,SIATECCompress,,,,,R,5951,49060,93849,691,59064
SIARTECCompress-RRT,SIATECCompress,,,RRT,,R,6116,49943,97530,606,59983
SIARTECCompressBB,SIATECCompress,BB,,,,R,5969,47850,93471,577,58665
SIARTECCompressBB-RRT,SIATECCompress,BB,,RRT,,R,6150,49893,97059,595,59955
SIARTECCompressSegment,SIATECCompress,Segment,,,,R,5960,48332,93596,655,58686
SIARTECCompressSegment-RRT,SIATECCompress,Segment,,RRT,,R,6218,50074,96663,601,60131
SIATECCompress,SIATECCompress,,,,,,7489,53311,181939,698,101726
SIATECCompress-RRT,SIATECCompress,,,RRT,,,7718,53748,185430,863,102749
SIATECCompressBB,SIATECCompress,BB,,,,,7353,52009,179463,650,101601
SIATECCompressBB-RRT,SIATECCompress,BB,,RRT,,,7659,53795,184161,853,103596
SIATECCompressSegment,SIATECCompress,Segment,,,,,7438,51787,179364,663,101720
SIATECCompressSegment-RRT,SIATECCompress,Segment,,RRT,,,7723,53802,184450,872,102587
