Algorithm,Bach,Beethoven,Chopin,Gibbons,Mozart
ReForthRCT-RRT,0.5121,0.5471,0.5357,0.3362,0.6725
ReForthRCTBB,0.5200,0.7156,0.5858,0.3196,0.6742
ReForthRCTBB-RRT,0.5200,0.5470,0.5858,0.3196,0.6742
ReForthRCTSegment,0.3867,0.7160,0.6101,0.3166,0.6754
ReForthRCTSegment-RRT,0.4418,0.5524,0.6101,0.3166,0.6754
ReForthRSegment,0.3661,0.4650,0.3783,0.2581,0.4474
ReForthRSegment-RRT,0.3661,0.4656,0.3762,0.2581,0.4474
ReForthSegment,0.2844,0.4816,0.4376,0.2468,0.4595
ReForthSegment-RRT,0.2909,0.4150,0.4199,0.2468,0.4595
ReSIACTTECCompress,0.6501,0.3349,0.2709,0.2725,0.5178
ReSIACTTECCompress-RRT,0.6021,0.3341,0.2709,0.2576,0.5178
ReSIACTTECCompressBB,0.6183,0.3940,0.3939,0.3575,0.5422
ReSIACTTECCompressBB-RRT,0.5788,0.3916,0.3939,0.3497,0.5422
ReSIACTTECCompressSegment,0.4741,0.3994,0.5265,0.3267,0.5416
ReSIACTTECCompressSegment-RRT,0.4360,0.4125,0.5265,0.3147,0.5416
ReSIARCTTECCompress,0.6501,0.3349,0.2709,0.2725,0.5178
ReSIARCTTECCompress-RRT,0.6021,0.3341,0.2709,0.2576,0.5178
ReSIARCTTECCompressBB,0.6183,0.3940,0.3939,0.3575,0.5422
ReSIARCTTECCompressBB-RRT,0.5788,0.3916,0.3939,0.3497,0.5422
ReSIARCTTECCompressSegment,0.4741,0.3994,0.5265,0.3267,0.5416
ReSIARCTTECCompressSegment-RRT,0.4360,0.4125,0.5265,0.3147,0.5416
ReSIARTECCompress,0.4015,0.2369,0.2216,0.2475,0.2991
ReSIARTECCompress-RRT,0.4357,0.2366,0.2231,0.2475,0.2932
ReSIARTECCompressBB,0.3848,0.5622,0.6547,0.3596,0.5348
ReSIARTECCompressBB-RRT,0.4169,0.5516,0.6804,0.3596,0.5188
ReSIARTECCompressSegment,0.3423,0.6839,0.8357,0.3528,0.6342
ReSIARTECCompressSegment-RRT,0.3674,0.6814,0.8438,0.3528,0.6144
ReSIATECCompress,0.4172,0.2420,0.2625,0.2691,0.3476
ReSIATECCompress-RRT,0.5126,0.2323,0.2517,0.2691,0.3502
ReSIATECCompressBB,0.4500,0.6164,0.5718,0.3543,0.5439
ReSIATECCompressBB-RRT,0.4763,0.5685,0.5828,0.3543,0.5163
ReSIATECCompressSegment,0.4289,0.7461,0.8134,0.3447,0.5811
ReSIATECCompressSegment-RRT,0.4289,0.7301,0.8213,0.3447,0.5754
SIACTTECCompress,0.6501,0.3349,0.2709,0.2725,0.5178
SIACTTECCompress-RRT,0.6021,0.3341,0.2709,0.2576,0.5178
SIACTTECCompressBB,0.6183,0.3940,0.3939,0.3575,0.5422
SIACTTECCompressBB-RRT,0.5788,0.3916,0.3939,0.3497,0.5422
SIACTTECCompressSegment,0.4741,0.3994,0.5265,0.3267,0.5416
SIACTTECCompressSegment-RRT,0.4360,0.4125,0.5265,0.3147,0.5416
SIARCTTECCompress,0.6501,0.3349,0.2709,0.2725,0.5178
SIARCTTECCompress-RRT,0.6021,0.3341,0.2709,0.2576,0.5178
SIARCTTECCompressBB,0.6183,0.3940,0.3939,0.3575,0.5422
SIARCTTECCompressBB-RRT,0.5788,0.3916,0.3939,0.3497,0.5422
SIARCTTECCompressSegment,0.4741,0.3994,0.5265,0.3267,0.5416
SIARCTTECCompressSegment-RRT,0.4360,0.4125,0.5265,0.3147,0.5416
SIARTECCompress,0.4015,0.2369,0.2216,0.2475,0.2991
SIARTECCompress-RRT,0.4357,0.2366,0.2231,0.2475,0.2932
SIARTECCompressBB,0.3848,0.5622,0.6547,0.3596,0.5348
SIARTECCompressBB-RRT,0.4169,0.5516,0.6804,0.3596,0.5188
SIARTECCompressSegment,0.3423,0.6839,0.8357,0.3528,0.6342
SIARTECCompressSegment-RRT,0.3674,0.6814,0.8438,0.3528,0.6144
SIATECCompress,0.4172,0.2420,0.2625,0.2691,0.3476
SIATECCompress-RRT,0.5126,0.2323,0.2517,0.2691,0.3502
SIATECCompressBB,0.4500,0.6164,0.5718,0.3543,0.5439
SIATECCompressBB-RRT,0.4763,0.5685,0.5828,0.3543,0.5163
SIATECCompressSegment,0.4289,0.7461,0.8134,0.3447,0.5811
SIATECCompressSegment-RRT,0.4289,0.7301,0.8213,0.3447,0.5754
