Algorithm, Basic algorithm, Mode, RecurSIA, RRT, CT, R,% change in TLF1,Bach,% change in TLF1,Beethoven,% change in TLF1,Chopin,% change in TLF1,Gibbons,% change in TLF1,Mozart,Average over pieces,,,Average over all cases
SIARCTTECCompressBB-RRT,SIATECCompress,BB,Z,RRT,CT,R,-12.5137,0.2398,0.1667,0.2403,0.0000,0.1663,-2.7720,0.235,0.0000,0.353,-3.0238,,,
SIARCTTECCompressBB,SIATECCompress,BB,Z,Z,CT,R,,0.2741,,0.2399,,0.1663,,0.2417,,0.353,,,,
ReSIARTECCompressBB-RRT,SIATECCompress,BB,RecurSIA,RRT,Z,R,-23.9984,0.1916,-28.9776,0.3397,-39.5828,0.2346,5.6936,0.336,-26.2076,0.3086,-22.6146,,,
ReSIARTECCompressBB,SIATECCompress,BB,RecurSIA,Z,Z,R,-38.4768,0.1551,-35.1035,0.3104,-41.4370,0.2274,5.6936,0.336,-30.8226,0.2893,-28.0293,,,
SIARTECCompressBB-RRT,SIATECCompress,BB,Z,RRT,Z,R,7.4970,0.271,0.0418,0.4785,0.6953,0.391,0.0000,0.3179,-0.7413,0.4151,1.4986,,,
SIARTECCompressBB,SIATECCompress,BB,Z,Z,Z,R,,0.2521,,0.4783,,0.3883,,0.3179,,0.4182,,,,
ReSIACTTECCompressBB-RRT,SIATECCompress,BB,RecurSIA,RRT,CT,Z,-36.4830,0.1741,13.7974,0.273,-0.3608,0.1657,19.7766,0.2895,-23.5977,0.2697,-5.3735,,,
ReSIACTTECCompressBB,SIATECCompress,BB,RecurSIA,Z,CT,Z,-32.9442,0.1838,7.6699,0.2583,-0.3608,0.1657,18.2044,0.2857,-23.3994,0.2704,-6.1660,,,
SIACTTECCompressBB-RRT,SIATECCompress,BB,Z,RRT,CT,Z,-12.5137,0.2398,0.1667,0.2403,0.0000,0.1663,-2.7720,0.235,0.0000,0.353,-3.0238,,,
SIACTTECCompressBB,SIATECCompress,BB,Z,Z,CT,Z,,0.2741,,0.2399,,0.1663,,0.2417,,0.353,,,,
ReSIATECCompressBB-RRT,SIATECCompress,BB,RecurSIA,RRT,Z,Z,-22.0149,0.209,-34.4502,0.3189,-43.2099,0.1932,-16.7438,0.27,-34.6706,0.3094,-30.2179,,,
ReSIATECCompressBB,SIATECCompress,BB,RecurSIA,Z,Z,Z,-17.3881,0.2214,-33.1346,0.3253,-45.9436,0.1839,-16.7438,0.27,-29.9409,0.3318,-28.6302,,,
SIATECCompressBB-RRT,SIATECCompress,BB,Z,RRT,Z,Z,7.3507,0.2877,-6.4543,0.4551,1.1464,0.3441,0.0000,0.3243,-5.7855,0.4462,-0.7485,,,
SIATECCompressBB,SIATECCompress,BB,Z,Z,Z,Z,,0.268,,0.4865,,0.3402,,0.3243,,0.4736,,,,
ReCOSIARCTTECSegment-RRT,COSIATEC,Segment,RecurSIA,RRT,CT,R,-35.7853,0.1292,-21.3856,0.3268,-3.9641,0.2568,0.0000,0.3342,-27.4982,0.3098,-17.7266,,,
ReCOSIARCTTECSegment,COSIATEC,Segment,RecurSIA,Z,CT,R,-39.7117,0.1213,-21.2172,0.3275,-3.9641,0.2568,0.0000,0.3342,-31.4065,0.2931,-19.2599,,,
COSIARCTTECSegment-RRT,COSIATEC,Segment,Z,RRT,CT,R,-17.0974,0.1668,2.9829,0.4281,0.0000,0.2674,0.0000,0.3342,0.1638,0.428,-2.7901,,,
