Algorithm, Basic algorithm, Mode, RecurSIA, RRT, CT, R,Bach,Beethoven,Chopin,Gibbons,Mozart
COSIACTTEC,COSIATEC,,,,CT,,0.2684,0.1357,0.0573,0.1855,0.2755
COSIACTTEC-RRT,COSIATEC,,,RRT,CT,,0.2342,0.1409,0.0573,0.1855,0.2749
COSIACTTECBB,COSIATEC,BB,,,CT,,0.2562,0.2025,0.1085,0.2170,0.3284
COSIACTTECBB-RRT,COSIATEC,BB,,RRT,CT,,0.2254,0.2235,0.1085,0.2170,0.3273
COSIACTTECSegment,COSIATEC,Segment,,,CT,,0.2012,0.4157,0.2627,0.3342,0.4504
COSIACTTECSegment-RRT,COSIATEC,Segment,,RRT,CT,,0.1668,0.4281,0.2627,0.3342,0.4501
COSIARCTTEC,COSIATEC,,,,CT,R,0.2684,0.1357,0.0573,0.1855,0.2613
COSIARCTTEC-RRT,COSIATEC,,,RRT,CT,R,0.2342,0.1409,0.0573,0.1855,0.2607
COSIARCTTECBB,COSIATEC,BB,,,CT,R,0.2562,0.2025,0.1085,0.2170,0.3131
COSIARCTTECBB-RRT,COSIATEC,BB,,RRT,CT,R,0.2254,0.2235,0.1085,0.2170,0.3120
COSIARCTTECSegment,COSIATEC,Segment,,,CT,R,0.2012,0.4157,0.2627,0.3342,0.4273
COSIARCTTECSegment-RRT,COSIATEC,Segment,,RRT,CT,R,0.1668,0.4281,0.2627,0.3342,0.4280
COSIARTEC,COSIATEC,,,,,R,0.1893,0.1217,0.0389,0.1155,0.1730
COSIARTEC-RRT,COSIATEC,,,RRT,,R,0.1975,0.1033,0.0431,0.1155,0.1594
COSIARTECBB,COSIATEC,BB,,,,R,0.1912,0.3365,0.1971,0.2870,0.3330
COSIARTECBB-RRT,COSIATEC,BB,,RRT,,R,0.2187,0.4105,0.1850,0.2870,0.2994
COSIARTECSegment,COSIATEC,Segment,,,,R,0.1743,0.5584,0.4158,0.3820,0.4994
COSIARTECSegment-RRT,COSIATEC,Segment,,RRT,,R,0.1850,0.6838,0.4123,0.3820,0.5367
COSIATEC,COSIATEC,,,,,,0.1853,0.1318,0.0591,0.1391,0.2116
COSIATEC-RRT,COSIATEC,,,RRT,,,0.1852,0.0981,0.0424,0.1391,0.2025
COSIATECBB,COSIATEC,BB,,,,,0.1976,0.4524,0.1586,0.2649,0.3645
COSIATECBB-RRT,COSIATEC,BB,,RRT,,,0.2118,0.3262,0.1476,0.2649,0.3707
COSIATECSegment,COSIATEC,Segment,,,,,0.1806,0.6624,0.3084,0.3846,0.5536
COSIATECSegment-RRT,COSIATEC,Segment,,RRT,,,0.1808,0.6135,0.3459,0.3846,0.5617
Forth,Forth,,,,,,0.1612,0.3163,0.1229,0.3141,0.2354
Forth-RRT,Forth,,,RRT,,,0.1455,0.2647,0.1208,0.3141,0.2288
ForthBB,Forth,BB,,,,,0.1629,0.3513,0.1851,0.2532,0.2831
ForthBB-RRT,Forth,BB,,RRT,,,0.1661,0.2894,0.1900,0.2532,0.2753
ForthCT,Forth,,,,CT,,0.3358,0.5493,0.2490,0.3323,0.5554
