Algorithm,Bach,Beethoven,Chopin,Gibbons,Mozart
ReForthRCT-RRT,0.3422,0.4128,0.2491,0.3323,0.5564
ReForthRCTBB,0.3254,0.5652,0.2995,0.3162,0.5798
ReForthRCTBB-RRT,0.3406,0.4348,0.2997,0.3162,0.5812
ReForthRCTSegment,0.2625,0.5736,0.3268,0.3149,0.5862
ReForthRCTSegment-RRT,0.2827,0.4477,0.3273,0.3149,0.5899
ReForthRSegment,0.2577,0.3597,0.2852,0.2427,0.3894
ReForthRSegment-RRT,0.2803,0.3133,0.2752,0.2427,0.3894
ReForthSegment,0.1792,0.3774,0.3346,0.2468,0.3446
ReForthSegment-RRT,0.2354,0.3210,0.3269,0.2468,0.3352
ReSIACTTECCompress,0.2817,0.1974,0.1192,0.1909,0.3126
ReSIACTTECCompress-RRT,0.2439,0.1966,0.1192,0.1855,0.3126
ReSIACTTECCompressBB,0.2741,0.2399,0.1738,0.2417,0.3530
ReSIACTTECCompressBB-RRT,0.2398,0.2403,0.1739,0.2350,0.3530
ReSIACTTECCompressSegment,0.2330,0.2544,0.2302,0.2320,0.3727
ReSIACTTECCompressSegment-RRT,0.2041,0.2632,0.2302,0.2248,0.3727
ReSIARCTTECCompress,0.2817,0.1974,0.1192,0.1909,0.3126
ReSIARCTTECCompress-RRT,0.2439,0.1966,0.1192,0.1855,0.3126
ReSIARCTTECCompressBB,0.2741,0.2399,0.1738,0.2417,0.3530
ReSIARCTTECCompressBB-RRT,0.2398,0.2403,0.1739,0.2350,0.3530
ReSIARCTTECCompressSegment,0.2330,0.2544,0.2302,0.2320,0.3727
ReSIARCTTECCompressSegment-RRT,0.2041,0.2632,0.2302,0.2248,0.3727
ReSIARTECCompress,0.1892,0.1838,0.0937,0.1803,0.1817
ReSIARTECCompress-RRT,0.2478,0.1829,0.0964,0.1803,0.1778
ReSIARTECCompressBB,0.2521,0.4783,0.3902,0.3179,0.4182
ReSIARTECCompressBB-RRT,0.2710,0.4785,0.3924,0.3179,0.4151
ReSIARTECCompressSegment,0.2443,0.6102,0.6040,0.3852,0.5608
ReSIARTECCompressSegment-RRT,0.2554,0.6184,0.6137,0.3852,0.5570
ReSIATECCompress,0.2081,0.1765,0.1095,0.1825,0.2400
