Algorithm, Basic algorithm, Mode, RecurSIA, RRT, CT, R,Bach,Beethoven,Chopin,Gibbons,Mozart
ReCOSIARCTTEC,COSIATEC,Z,RecurSIA,Z,CT,R,0.2048,0.1786,0.0906,0.2427,0.2275
ReCOSIARCTTEC-RRT,COSIATEC,Z,RecurSIA,RRT,CT,R,0.0185,0.1908,0.0906,0.2427,0.2275
ReCOSIARCTTECBB,COSIATEC,BB,RecurSIA,Z,CT,R,0.2083,0.2033,0.1322,0.2693,0.2377
ReCOSIARCTTECBB-RRT,COSIATEC,BB,RecurSIA,RRT,CT,R,0.0217,0.2251,0.1322,0.2693,0.2377
ReCOSIARCTTECSegment,COSIATEC,Segment,RecurSIA,Z,CT,R,0.1834,0.2263,0.2090,0.2701,0.2482
ReCOSIARCTTECSegment-RRT,COSIATEC,Segment,RecurSIA,RRT,CT,R,0.0282,0.2606,0.2090,0.2701,0.2482
ReCOSIARTEC,COSIATEC,Z,RecurSIA,Z,Z,R,0.1422,0.0633,0.0901,0.0467,0.1517
ReCOSIARTEC-RRT,COSIATEC,Z,RecurSIA,RRT,Z,R,0.0984,0.0486,0.0890,0.0467,0.1674
ReCOSIARTECBB,COSIATEC,BB,RecurSIA,Z,Z,R,0.1422,0.0799,0.2389,0.1080,0.1680
ReCOSIARTECBB-RRT,COSIATEC,BB,RecurSIA,RRT,Z,R,0.1029,0.1313,0.2333,0.1080,0.1814
ReCOSIARTECSegment,COSIATEC,Segment,RecurSIA,Z,Z,R,0.1346,0.0979,0.4146,0.1843,0.2932
ReCOSIARTECSegment-RRT,COSIATEC,Segment,RecurSIA,RRT,Z,R,0.1000,0.2717,0.4811,0.1843,0.3687
ReCOSIATEC,COSIATEC,Z,RecurSIA,Z,Z,Z,0.3176,0.0727,0.0825,0.1266,0.1681
ReCOSIATEC-RRT,COSIATEC,Z,RecurSIA,RRT,Z,Z,0.0984,0.0486,0.0863,0.1266,0.1691
ReCOSIATECBB,COSIATEC,BB,RecurSIA,Z,Z,Z,0.2928,0.0922,0.1189,0.2272,0.2433
ReCOSIATECBB-RRT,COSIATEC,BB,RecurSIA,RRT,Z,Z,0.1029,0.1313,0.1434,0.2272,0.2465
ReCOSIATECSegment,COSIATEC,Segment,RecurSIA,Z,Z,Z,0.2517,0.1124,0.1419,0.3815,0.3685
ReCOSIATECSegment-RRT,COSIATEC,Segment,RecurSIA,RRT,Z,Z,0.1000,0.2717,0.2986,0.3815,0.3534
ReForth,Forth,Z,RecurSIA,Z,Z,Z,0.1965,0.2662,0.1954,0.2534,0.3720
ReForth-RRT,Forth,Z,RecurSIA,RRT,Z,Z,0.1417,0.2651,0.1758,0.2534,0.3720
ReForthBB,Forth,BB,RecurSIA,Z,Z,Z,0.1959,0.2593,0.2729,0.2110,0.4063
ReForthBB-RRT,Forth,BB,RecurSIA,RRT,Z,Z,0.1711,0.2571,0.2359,0.2110,0.4063
ReForthCT,Forth,Z,RecurSIA,Z,CT,Z,0.2296,0.2788,0.2874,0.3390,0.2158
ReForthCT-RRT,Forth,Z,RecurSIA,RRT,CT,Z,0.3940,0.2869,0.2874,0.3390,0.2077
ReForthCTBB,Forth,BB,RecurSIA,Z,CT,Z,0.2269,0.2859,0.3799,0.3810,0.2547
ReForthCTBB-RRT,Forth,BB,RecurSIA,RRT,CT,Z,0.3794,0.2940,0.3799,0.3810,0.2419
ReForthCTSegment,Forth,Segment,RecurSIA,Z,CT,Z,0.2152,0.3074,0.3947,0.3850,0.2618
ReForthCTSegment-RRT,Forth,Segment,RecurSIA,RRT,CT,Z,0.2979,0.3180,0.3947,0.3850,0.2534
ReForthR,Forth,Z,RecurSIA,Z,Z,R,0.2709,0.2530,0.1954,0.2541,0.3720
ReForthR-RRT,Forth,Z,RecurSIA,RRT,Z,R,0.2888,0.0607,0.1758,0.2541,0.3720
ReForthRBB,Forth,BB,RecurSIA,Z,Z,R,0.2533,0.2814,0.2729,0.2114,0.4063
ReForthRBB-RRT,Forth,BB,RecurSIA,RRT,Z,R,0.2712,0.0844,0.2359,0.2114,0.4063
ReForthRCT,Forth,Z,RecurSIA,Z,CT,R,0.2296,0.2788,0.2874,0.3390,0.2158
ReForthRCT-RRT,Forth,Z,RecurSIA,RRT,CT,R,0.3940,0.2869,0.2874,0.3390,0.2077
ReForthRCTBB,Forth,BB,RecurSIA,Z,CT,R,0.2269,0.2859,0.3799,0.3810,0.2547
ReForthRCTBB-RRT,Forth,BB,RecurSIA,RRT,CT,R,0.3794,0.2940,0.3799,0.3810,0.2419
ReForthRCTSegment,Forth,Segment,RecurSIA,Z,CT,R,0.2152,0.3074,0.3947,0.3850,0.2618
ReForthRCTSegment-RRT,Forth,Segment,RecurSIA,RRT,CT,R,0.2979,0.3180,0.3947,0.3850,0.2534
ReForthRSegment,Forth,Segment,RecurSIA,Z,Z,R,0.1926,0.3175,0.3046,0.2115,0.4651
ReForthRSegment-RRT,Forth,Segment,RecurSIA,RRT,Z,R,0.2093,0.1316,0.2972,0.2115,0.4651
ReForthSegment,Forth,Segment,RecurSIA,Z,Z,Z,0.1878,0.2854,0.3046,0.2179,0.4651
ReForthSegment-RRT,Forth,Segment,RecurSIA,RRT,Z,Z,0.1816,0.2830,0.2972,0.2179,0.4651
ReSIACTTECCompress,SIATECCompress,Z,RecurSIA,Z,CT,Z,0.1945,0.0988,0.1414,0.1922,0.2275
ReSIACTTECCompress-RRT,SIATECCompress,Z,RecurSIA,RRT,CT,Z,0.2002,0.1173,0.1414,0.1922,0.2275
ReSIACTTECCompressBB,SIATECCompress,BB,RecurSIA,Z,CT,Z,0.1917,0.1078,0.1794,0.2035,0.2377
ReSIACTTECCompressBB-RRT,SIATECCompress,BB,RecurSIA,RRT,CT,Z,0.2008,0.1423,0.1794,0.2035,0.2377
ReSIACTTECCompressSegment,SIATECCompress,Segment,RecurSIA,Z,CT,Z,0.1658,0.1411,0.2007,0.1896,0.2482
ReSIACTTECCompressSegment-RRT,SIATECCompress,Segment,RecurSIA,RRT,CT,Z,0.1718,0.1972,0.2007,0.1896,0.2482
ReSIARCTTECCompress,SIATECCompress,Z,RecurSIA,Z,CT,R,0.1945,0.0988,0.1414,0.1922,0.2275
ReSIARCTTECCompress-RRT,SIATECCompress,Z,RecurSIA,RRT,CT,R,0.2002,0.1173,0.1414,0.1922,0.2275
ReSIARCTTECCompressBB,SIATECCompress,BB,RecurSIA,Z,CT,R,0.1917,0.1078,0.1794,0.2035,0.2377
ReSIARCTTECCompressBB-RRT,SIATECCompress,BB,RecurSIA,RRT,CT,R,0.2008,0.1423,0.1794,0.2035,0.2377
ReSIARCTTECCompressSegment,SIATECCompress,Segment,RecurSIA,Z,CT,R,0.1658,0.1411,0.2007,0.1896,0.2482
ReSIARCTTECCompressSegment-RRT,SIATECCompress,Segment,RecurSIA,RRT,CT,R,0.1718,0.1972,0.2007,0.1896,0.2482
ReSIARTECCompress,SIATECCompress,Z,RecurSIA,Z,Z,R,0.1955,0.0513,0.0848,0.0683,0.2408
ReSIARTECCompress-RRT,SIATECCompress,Z,RecurSIA,RRT,Z,R,0.1689,0.0480,0.0848,0.0683,0.2418
ReSIARTECCompressBB,SIATECCompress,BB,RecurSIA,Z,Z,R,0.2011,0.0513,0.2062,0.1433,0.2693
ReSIARTECCompressBB-RRT,SIATECCompress,BB,RecurSIA,RRT,Z,R,0.1798,0.1113,0.2062,0.1433,0.2726
ReSIARTECCompressSegment,SIATECCompress,Segment,RecurSIA,Z,Z,R,0.1881,0.0749,0.3180,0.2233,0.3973
ReSIARTECCompressSegment-RRT,SIATECCompress,Segment,RecurSIA,RRT,Z,R,0.1667,0.2610,0.3180,0.2233,0.3822
ReSIATECCompress,SIATECCompress,Z,RecurSIA,Z,Z,Z,0.2368,0.0727,0.1461,0.1241,0.1681
ReSIATECCompress-RRT,SIATECCompress,Z,RecurSIA,RRT,Z,Z,0.1689,0.0480,0.1461,0.1241,0.1691
ReSIATECCompressBB,SIATECCompress,BB,RecurSIA,Z,Z,Z,0.2424,0.0922,0.2121,0.2769,0.2433
ReSIATECCompressBB-RRT,SIATECCompress,BB,RecurSIA,RRT,Z,Z,0.1798,0.1113,0.2121,0.2769,0.2465
ReSIATECCompressSegment,SIATECCompress,Segment,RecurSIA,Z,Z,Z,0.2248,0.1124,0.2407,0.3638,0.3685
ReSIATECCompressSegment-RRT,SIATECCompress,Segment,RecurSIA,RRT,Z,Z,0.1667,0.2610,0.2407,0.3638,0.3534
SIACTTECCompress,SIATECCompress,Z,Z,Z,CT,Z,0.4949,0.1907,0.2404,0.1922,0.5225
SIACTTECCompress-RRT,SIATECCompress,Z,Z,RRT,CT,Z,0.3405,0.2038,0.2404,0.1922,0.5225
SIACTTECCompressBB,SIATECCompress,BB,Z,Z,CT,Z,0.4901,0.2231,0.3543,0.2035,0.5507
SIACTTECCompressBB-RRT,SIATECCompress,BB,Z,RRT,CT,Z,0.3477,0.2462,0.3543,0.2035,0.5507
SIACTTECCompressSegment,SIATECCompress,Segment,Z,Z,CT,Z,0.4288,0.2496,0.3837,0.1896,0.5661
SIACTTECCompressSegment-RRT,SIATECCompress,Segment,Z,RRT,CT,Z,0.3090,0.2740,0.3837,0.1896,0.5661
SIARCTTECCompress,SIATECCompress,Z,Z,Z,CT,R,0.4949,0.1907,0.2404,0.1922,0.5225
SIARCTTECCompress-RRT,SIATECCompress,Z,Z,RRT,CT,R,0.3405,0.2038,0.2404,0.1922,0.5225
SIARCTTECCompressBB,SIATECCompress,BB,Z,Z,CT,R,0.4901,0.2231,0.3543,0.2035,0.5507
SIARCTTECCompressBB-RRT,SIATECCompress,BB,Z,RRT,CT,R,0.3477,0.2462,0.3543,0.2035,0.5507
SIARCTTECCompressSegment,SIATECCompress,Segment,Z,Z,CT,R,0.4288,0.2496,0.3837,0.1896,0.5661
SIARCTTECCompressSegment-RRT,SIATECCompress,Segment,Z,RRT,CT,R,0.3090,0.2740,0.3837,0.1896,0.5661
SIARTECCompress,SIATECCompress,Z,Z,Z,Z,R,0.2405,0.2289,0.1004,0.0905,0.3932
SIARTECCompress-RRT,SIATECCompress,Z,Z,RRT,Z,R,0.2487,0.1912,0.1013,0.0905,0.3932
SIARTECCompressBB,SIATECCompress,BB,Z,Z,Z,R,0.2828,0.3690,0.3192,0.1762,0.5429
SIARTECCompressBB-RRT,SIATECCompress,BB,Z,RRT,Z,R,0.2596,0.3587,0.3043,0.1762,0.5429
SIARTECCompressSegment,SIATECCompress,Segment,Z,Z,Z,R,0.2681,0.4319,0.5610,0.2656,0.6327
SIARTECCompressSegment-RRT,SIATECCompress,Segment,Z,RRT,Z,R,0.2386,0.4914,0.6267,0.2656,0.6327
SIATECCompress,SIATECCompress,Z,Z,Z,Z,Z,0.2405,0.2289,0.2715,0.1484,0.3955
SIATECCompress-RRT,SIATECCompress,Z,Z,RRT,Z,Z,0.2487,0.1912,0.2154,0.1484,0.3955
SIATECCompressBB,SIATECCompress,BB,Z,Z,Z,Z,0.2828,0.3690,0.5140,0.4004,0.5727
SIATECCompressBB-RRT,SIATECCompress,BB,Z,RRT,Z,Z,0.2596,0.3587,0.4129,0.4004,0.5727
SIATECCompressSegment,SIATECCompress,Segment,Z,Z,Z,Z,0.2681,0.4319,0.6280,0.6096,0.6158
SIATECCompressSegment-RRT,SIATECCompress,Segment,Z,RRT,Z,Z,0.2386,0.4914,0.5513,0.6096,0.6158
