Algorithm, Basic algorithm, Mode, RecurSIA, RRT, CT, R,Bach,Beethoven,Chopin,Gibbons,Mozart
ReCOSIARCTTEC,COSIATEC,Z,RecurSIA,Z,CT,R,0.8180,0.1948,0.2098,0.3152,0.4002
ReCOSIARCTTEC-RRT,COSIATEC,Z,RecurSIA,RRT,CT,R,0.4694,0.2034,0.2098,0.3152,0.4002
ReCOSIARCTTECBB,COSIATEC,BB,RecurSIA,Z,CT,R,0.7537,0.2634,0.3293,0.3400,0.4460
ReCOSIARCTTECBB-RRT,COSIATEC,BB,RecurSIA,RRT,CT,R,0.4316,0.2970,0.3293,0.3400,0.4460
ReCOSIARCTTECSegment,COSIATEC,Segment,RecurSIA,Z,CT,R,0.4516,0.5896,0.7066,0.4846,0.5757
ReCOSIARCTTECSegment-RRT,COSIATEC,Segment,RecurSIA,RRT,CT,R,0.3402,0.5936,0.7066,0.4846,0.5780
ReCOSIARTEC,COSIATEC,Z,RecurSIA,Z,Z,R,0.6877,0.1960,0.1490,0.1452,0.3290
ReCOSIARTEC-RRT,COSIATEC,Z,RecurSIA,RRT,Z,R,0.4762,0.1636,0.1485,0.1452,0.3109
ReCOSIARTECBB,COSIATEC,BB,RecurSIA,Z,Z,R,0.6280,0.4894,0.5501,0.3386,0.4784
ReCOSIARTECBB-RRT,COSIATEC,BB,RecurSIA,RRT,Z,R,0.4920,0.5662,0.4958,0.3386,0.5062
ReCOSIARTECSegment,COSIATEC,Segment,RecurSIA,Z,Z,R,0.4471,0.6629,0.7946,0.3598,0.6258
ReCOSIARTECSegment-RRT,COSIATEC,Segment,RecurSIA,RRT,Z,R,0.3417,0.7548,0.7925,0.3598,0.6815
ReCOSIATEC,COSIATEC,Z,RecurSIA,Z,Z,Z,0.5766,0.1978,0.2635,0.2009,0.3725
ReCOSIATEC-RRT,COSIATEC,Z,RecurSIA,RRT,Z,Z,0.4762,0.1633,0.1682,0.2009,0.3725
ReCOSIATECBB,COSIATEC,BB,RecurSIA,Z,Z,Z,0.5158,0.6786,0.5744,0.3260,0.5510
ReCOSIATECBB-RRT,COSIATEC,BB,RecurSIA,RRT,Z,Z,0.4920,0.4891,0.3961,0.3260,0.5574
ReCOSIATECSegment,COSIATEC,Segment,RecurSIA,Z,Z,Z,0.4210,0.8380,0.8001,0.3437,0.6925
ReCOSIATECSegment-RRT,COSIATEC,Segment,RecurSIA,RRT,Z,Z,0.3417,0.7594,0.6793,0.3437,0.6953
ReForth,Forth,Z,RecurSIA,Z,Z,Z,0.2157,0.4938,0.3354,0.3154,0.3996
ReForth-RRT,Forth,Z,RecurSIA,RRT,Z,Z,0.1692,0.4287,0.3338,0.3154,0.4001
ReForthBB,Forth,BB,RecurSIA,Z,Z,Z,0.2148,0.6555,0.4689,0.2552,0.5444
ReForthBB-RRT,Forth,BB,RecurSIA,RRT,Z,Z,0.1816,0.6627,0.4767,0.2552,0.5444
ReForthCT,Forth,Z,RecurSIA,Z,CT,Z,0.5468,0.7314,0.4843,0.3362,0.6725
ReForthCT-RRT,Forth,Z,RecurSIA,RRT,CT,Z,0.6066,0.5804,0.4843,0.3362,0.6725
ReForthCTBB,Forth,BB,RecurSIA,Z,CT,Z,0.5200,0.8431,0.7356,0.3228,0.7238
ReForthCTBB-RRT,Forth,BB,RecurSIA,RRT,CT,Z,0.6003,0.7422,0.7356,0.3228,0.7238
ReForthCTSegment,Forth,Segment,RecurSIA,Z,CT,Z,0.3867,0.8422,0.7543,0.3258,0.7374
ReForthCTSegment-RRT,Forth,Segment,RecurSIA,RRT,CT,Z,0.4418,0.7411,0.7543,0.3258,0.7374
ReForthR,Forth,Z,RecurSIA,Z,Z,R,0.4323,0.4122,0.3101,0.3209,0.4159
ReForthR-RRT,Forth,Z,RecurSIA,RRT,Z,R,0.4323,0.4028,0.3155,0.3209,0.4148
ReForthRBB,Forth,BB,RecurSIA,Z,Z,R,0.4018,0.8120,0.4725,0.2529,0.5360
ReForthRBB-RRT,Forth,BB,RecurSIA,RRT,Z,R,0.4018,0.6688,0.4725,0.2529,0.5149
ReForthRCT,Forth,Z,RecurSIA,Z,CT,R,0.5468,0.7314,0.4843,0.3362,0.6725
ReForthRCT-RRT,Forth,Z,RecurSIA,RRT,CT,R,0.6066,0.5804,0.4843,0.3362,0.6725
ReForthRCTBB,Forth,BB,RecurSIA,Z,CT,R,0.5200,0.8431,0.7356,0.3228,0.7238
ReForthRCTBB-RRT,Forth,BB,RecurSIA,RRT,CT,R,0.6003,0.7422,0.7356,0.3228,0.7238
ReForthRCTSegment,Forth,Segment,RecurSIA,Z,CT,R,0.3867,0.8422,0.7543,0.3258,0.7374
ReForthRCTSegment-RRT,Forth,Segment,RecurSIA,RRT,CT,R,0.4418,0.7411,0.7543,0.3258,0.7374
ReForthRSegment,Forth,Segment,RecurSIA,Z,Z,R,0.3661,0.8507,0.5146,0.2581,0.5865
