Algorithm, Basic algorithm, Mode, RecurSIA, RRT, CT, R,Bach,Beethoven,Chopin,Gibbons,Mozart
ReCOSIARCTTECSegment-RRT,COSIATEC,Segment,RecurSIA,RRT,CT,R,0.0798,0.2254,0.1569,0.2550,0.2116
ReCOSIARTEC,COSIATEC,,RecurSIA,,,R,0.0683,0.0575,0.0173,0.0752,0.0743
ReCOSIARTEC-RRT,COSIATEC,,RecurSIA,RRT,,R,0.0852,0.0543,0.0193,0.0752,0.0667
ReCOSIARTECBB,COSIATEC,BB,RecurSIA,,,R,0.0696,0.1702,0.0919,0.1947,0.1533
ReCOSIARTECBB-RRT,COSIATEC,BB,RecurSIA,RRT,,R,0.0948,0.2039,0.0864,0.1947,0.1345
ReCOSIARTECSegment,COSIATEC,Segment,RecurSIA,,,R,0.0683,0.3186,0.2292,0.3677,0.2580
ReCOSIARTECSegment-RRT,COSIATEC,Segment,RecurSIA,RRT,,R,0.0871,0.3859,0.2231,0.3677,0.2773
ReCOSIATEC,COSIATEC,,RecurSIA,,,,0.1070,0.0682,0.0272,0.1022,0.0892
ReCOSIATEC-RRT,COSIATEC,,RecurSIA,RRT,,,0.0881,0.0553,0.0214,0.1022,0.0828
ReCOSIATECBB,COSIATEC,BB,RecurSIA,,,,0.1168,0.2361,0.0797,0.2021,0.1698
ReCOSIATECBB-RRT,COSIATEC,BB,RecurSIA,RRT,,,0.1016,0.1760,0.0736,0.2021,0.1754
ReCOSIATECSegment,COSIATEC,Segment,RecurSIA,,,,0.1094,0.3658,0.1890,0.3883,0.2928
ReCOSIATECSegment-RRT,COSIATEC,Segment,RecurSIA,RRT,,,0.0940,0.3628,0.2241,0.3883,0.2954
ReForth,Forth,,RecurSIA,,,,0.1287,0.1399,0.0711,0.2121,0.1463
ReForth-RRT,Forth,,RecurSIA,RRT,,,0.1276,0.1348,0.0679,0.2121,0.1412
ReForthBB,Forth,BB,RecurSIA,,,,0.1312,0.2668,0.1812,0.2195,0.2470
ReForthBB-RRT,Forth,BB,RecurSIA,RRT,,,0.1530,0.2525,0.1767,0.2195,0.2401
ReForthCT,Forth,,RecurSIA,,CT,,0.2217,0.2744,0.1174,0.2698,0.2707
ReForthCT-RRT,Forth,,RecurSIA,RRT,CT,,0.2581,0.2305,0.1174,0.2698,0.2655
ReForthCTBB,Forth,BB,RecurSIA,,CT,,0.2226,0.3687,0.2018,0.2927,0.3435
ReForthCTBB-RRT,Forth,BB,RecurSIA,RRT,CT,,0.2586,0.3401,0.2019,0.2927,0.3370
ReForthCTSegment,Forth,Segment,RecurSIA,,CT,,0.1886,0.3923,0.2188,0.2969,0.3554
ReForthCTSegment-RRT,Forth,Segment,RecurSIA,RRT,CT,,0.2026,0.3494,0.2190,0.2969,0.3515
ReForthR,Forth,,RecurSIA,,,R,0.1780,0.1568,0.0713,0.1898,0.1705
ReForthR-RRT,Forth,,RecurSIA,RRT,,R,0.1955,0.1447,0.0755,0.1898,0.1674
ReForthRBB,Forth,BB,RecurSIA,,,R,0.1718,0.3495,0.1998,0.1922,0.2829
ReForthRBB-RRT,Forth,BB,RecurSIA,RRT,,R,0.1888,0.2810,0.2052,0.1922,0.2552
ReForthRCT,Forth,,RecurSIA,,CT,R,0.2217,0.2744,0.1174,0.2698,0.2707
ReForthRCT-RRT,Forth,,RecurSIA,RRT,CT,R,0.2581,0.2305,0.1174,0.2698,0.2655
ReForthRCTBB,Forth,BB,RecurSIA,,CT,R,0.2226,0.3687,0.2018,0.2927,0.3435
ReForthRCTBB-RRT,Forth,BB,RecurSIA,RRT,CT,R,0.2586,0.3401,0.2019,0.2927,0.3370
ReForthRCTSegment,Forth,Segment,RecurSIA,,CT,R,0.1886,0.3923,0.2188,0.2969,0.3554
ReForthRCTSegment-RRT,Forth,Segment,RecurSIA,RRT,CT,R,0.2026,0.3494,0.2190,0.2969,0.3515
ReForthRSegment,Forth,Segment,RecurSIA,,,R,0.1547,0.3932,0.2528,0.1984,0.3288
ReForthRSegment-RRT,Forth,Segment,RecurSIA,RRT,,R,0.1700,0.3260,0.2558,0.1984,0.3010
ReForthSegment,Forth,Segment,RecurSIA,,,,0.1308,0.3096,0.2639,0.2206,0.3097
ReForthSegment-RRT,Forth,Segment,RecurSIA,RRT,,,0.1976,0.2811,0.2479,0.2206,0.2966
ReSIACTTECCompress,SIATECCompress,,RecurSIA,,CT,,0.1057,0.0961,0.0470,0.1457,0.1231
ReSIACTTECCompress-RRT,SIATECCompress,,RecurSIA,RRT,CT,,0.0999,0.0987,0.0470,0.1414,0.1224
ReSIACTTECCompressBB,SIATECCompress,BB,RecurSIA,,CT,,0.1050,0.1552,0.0972,0.2112,0.1701
ReSIACTTECCompressBB-RRT,SIATECCompress,BB,RecurSIA,RRT,CT,,0.0994,0.1659,0.0972,0.2114,0.1695
ReSIACTTECCompressSegment,SIATECCompress,Segment,RecurSIA,,CT,,0.0903,0.1747,0.1231,0.2083,0.2012
ReSIACTTECCompressSegment-RRT,SIATECCompress,Segment,RecurSIA,RRT,CT,,0.0851,0.1851,0.1231,0.2094,0.2025
ReSIARCTTECCompress,SIATECCompress,,RecurSIA,,CT,R,0.1057,0.0961,0.0470,0.1457,0.1231
ReSIARCTTECCompress-RRT,SIATECCompress,,RecurSIA,RRT,CT,R,0.0999,0.0987,0.0470,0.1414,0.1224
ReSIARCTTECCompressBB,SIATECCompress,BB,RecurSIA,,CT,R,0.1050,0.1552,0.0972,0.2112,0.1701
ReSIARCTTECCompressBB-RRT,SIATECCompress,BB,RecurSIA,RRT,CT,R,0.0994,0.1659,0.0972,0.2114,0.1695
ReSIARCTTECCompressSegment,SIATECCompress,Segment,RecurSIA,,CT,R,0.0903,0.1747,0.1231,0.2083,0.2012
ReSIARCTTECCompressSegment-RRT,SIATECCompress,Segment,RecurSIA,RRT,CT,R,0.0851,0.1851,0.1231,0.2094,0.2025
ReSIARTECCompress,SIATECCompress,,RecurSIA,,,R,0.0686,0.0669,0.0250,0.1317,0.0689
ReSIARTECCompress-RRT,SIATECCompress,,RecurSIA,RRT,,R,0.0983,0.0702,0.0255,0.1317,0.0719
ReSIARTECCompressBB,SIATECCompress,BB,RecurSIA,,,R,0.0951,0.2091,0.1376,0.2585,0.1979
ReSIARTECCompressBB-RRT,SIATECCompress,BB,RecurSIA,RRT,,R,0.1209,0.2365,0.1413,0.2585,0.2145
ReSIARTECCompressSegment,SIATECCompress,Segment,RecurSIA,,,R,0.1053,0.3416,0.2676,0.3153,0.3271
ReSIARTECCompressSegment-RRT,SIATECCompress,Segment,RecurSIA,RRT,,R,0.1373,0.3625,0.2752,0.3153,0.3518
ReSIATECCompress,SIATECCompress,,RecurSIA,,,,0.1054,0.0626,0.0283,0.0998,0.0915
ReSIATECCompress-RRT,SIATECCompress,,RecurSIA,RRT,,,0.1074,0.0694,0.0275,0.0998,0.0825
ReSIATECCompressBB,SIATECCompress,BB,RecurSIA,,,,0.1466,0.2210,0.1096,0.2165,0.2328
ReSIATECCompressBB-RRT,SIATECCompress,BB,RecurSIA,RRT,,,0.1339,0.2192,0.1158,0.2165,0.2125
ReSIATECCompressSegment,SIATECCompress,Segment,RecurSIA,,,,0.1753,0.3718,0.2333,0.3427,0.3303
ReSIATECCompressSegment-RRT,SIATECCompress,Segment,RecurSIA,RRT,,,0.1526,0.3611,0.2399,0.3427,0.3169
SIACTTECCompress,SIATECCompress,,,,CT,,0.1798,0.1400,0.0674,0.1469,0.2239
SIACTTECCompress-RRT,SIATECCompress,,,RRT,CT,,0.1530,0.1393,0.0674,0.1450,0.2239
SIACTTECCompressBB,SIATECCompress,BB,,,CT,,0.1760,0.1725,0.1076,0.1826,0.2617
SIACTTECCompressBB-RRT,SIATECCompress,BB,,RRT,CT,,0.1512,0.1733,0.1077,0.1769,0.2617
SIACTTECCompressSegment,SIATECCompress,Segment,,,CT,,0.1544,0.1867,0.1435,0.1798,0.2840
SIACTTECCompressSegment-RRT,SIATECCompress,Segment,,RRT,CT,,0.1332,0.1932,0.1435,0.1749,0.2840
SIARCTTECCompress,SIATECCompress,,,,CT,R,0.1798,0.1400,0.0674,0.1469,0.2239
SIARCTTECCompress-RRT,SIATECCompress,,,RRT,CT,R,0.1530,0.1393,0.0674,0.1450,0.2239
SIARCTTECCompressBB,SIATECCompress,BB,,,CT,R,0.1760,0.1725,0.1076,0.1826,0.2617
SIARCTTECCompressBB-RRT,SIATECCompress,BB,,RRT,CT,R,0.1512,0.1733,0.1077,0.1769,0.2617
SIARCTTECCompressSegment,SIATECCompress,Segment,,,CT,R,0.1544,0.1867,0.1435,0.1798,0.2840
SIARCTTECCompressSegment-RRT,SIATECCompress,Segment,,RRT,CT,R,0.1332,0.1932,0.1435,0.1749,0.2840
SIARTECCompress,SIATECCompress,,,,,R,0.1238,0.1502,0.0509,0.1418,0.1305
SIARTECCompress-RRT,SIATECCompress,,,RRT,,R,0.1731,0.1491,0.0525,0.1418,0.1275
SIARTECCompressBB,SIATECCompress,BB,,,,R,0.1874,0.4161,0.2758,0.2849,0.3433
SIARTECCompressBB-RRT,SIATECCompress,BB,,RRT,,R,0.2007,0.4225,0.2728,0.2849,0.3459
SIARTECCompressSegment,SIATECCompress,Segment,,,,R,0.1899,0.5509,0.4729,0.4242,0.5026
SIARTECCompressSegment-RRT,SIATECCompress,Segment,,RRT,,R,0.1957,0.5661,0.4822,0.4242,0.5094
SIATECCompress,SIATECCompress,,,,,,0.1387,0.1390,0.0645,0.1381,0.1832
SIATECCompress-RRT,SIATECCompress,,,RRT,,,0.1720,0.1366,0.0582,0.1381,0.1671
SIATECCompressBB,SIATECCompress,BB,,,,,0.1909,0.4018,0.2425,0.2990,0.4195
SIATECCompressBB-RRT,SIATECCompress,BB,,RRT,,,0.2061,0.3794,0.2438,0.2990,0.3928
SIATECCompressSegment,SIATECCompress,Segment,,,,,0.2110,0.5729,0.4175,0.4655,0.5325
SIATECCompressSegment-RRT,SIATECCompress,Segment,,RRT,,,0.2183,0.5346,0.4136,0.4655,0.5217
