Algorithm, Basic algorithm, Mode, RecurSIA, RRT, CT, R,Bach,Beethoven,Chopin,Gibbons,Mozart
COSIACTTEC,COSIATEC,,,,CT,,0.8180,0.1948,0.2458,0.3152,0.4002
COSIACTTEC-RRT,COSIATEC,,,RRT,CT,,0.4694,0.2034,0.2458,0.3152,0.4002
COSIACTTECBB,COSIATEC,BB,,,CT,,0.7537,0.2634,0.3427,0.3400,0.4460
COSIACTTECBB-RRT,COSIATEC,BB,,RRT,CT,,0.4316,0.2970,0.3427,0.3400,0.4460
COSIACTTECSegment,COSIATEC,Segment,,,CT,,0.4516,0.5896,0.6293,0.4846,0.5779
COSIACTTECSegment-RRT,COSIATEC,Segment,,RRT,CT,,0.3402,0.5936,0.6293,0.4846,0.5786
COSIARCTTEC,COSIATEC,,,,CT,R,0.8180,0.1948,0.2458,0.3152,0.4002
COSIARCTTEC-RRT,COSIATEC,,,RRT,CT,R,0.4694,0.2034,0.2458,0.3152,0.4002
COSIARCTTECBB,COSIATEC,BB,,,CT,R,0.7537,0.2634,0.3427,0.3400,0.4460
COSIARCTTECBB-RRT,COSIATEC,BB,,RRT,CT,R,0.4316,0.2970,0.3427,0.3400,0.4460
COSIARCTTECSegment,COSIATEC,Segment,,,CT,R,0.4516,0.5896,0.6293,0.4846,0.5757
COSIARCTTECSegment-RRT,COSIATEC,Segment,,RRT,CT,R,0.3402,0.5936,0.6293,0.4846,0.5780
COSIARTEC,COSIATEC,,,,,R,0.6877,0.1960,0.2088,0.1452,0.3290
COSIARTEC-RRT,COSIATEC,,,RRT,,R,0.4762,0.1587,0.2084,0.1452,0.3109
COSIARTECBB,COSIATEC,BB,,,,R,0.6280,0.4894,0.5572,0.3386,0.4779
COSIARTECBB-RRT,COSIATEC,BB,,RRT,,R,0.4920,0.5662,0.5165,0.3386,0.5062
COSIARTECSegment,COSIATEC,Segment,,,,R,0.4471,0.6629,0.7916,0.3226,0.6258
COSIARTECSegment-RRT,COSIATEC,Segment,,RRT,,R,0.3417,0.7548,0.7900,0.3226,0.6815
COSIATEC,COSIATEC,,,,,,0.5766,0.1978,0.2904,0.2009,0.3725
COSIATEC-RRT,COSIATEC,,,RRT,,,0.4762,0.1599,0.2190,0.2009,0.3725
COSIATECBB,COSIATEC,BB,,,,,0.5158,0.6786,0.5337,0.3260,0.5506
COSIATECBB-RRT,COSIATEC,BB,,RRT,,,0.4920,0.4891,0.4000,0.3260,0.5506
COSIATECSegment,COSIATEC,Segment,,,,,0.4210,0.8380,0.7071,0.3437,0.6925
COSIATECSegment-RRT,COSIATEC,Segment,,RRT,,,0.3417,0.7594,0.6154,0.3437,0.6873
Forth,Forth,,,,,,0.2157,0.4854,0.3156,0.3141,0.3679
Forth-RRT,Forth,,,RRT,,,0.1692,0.4093,0.3147,0.3141,0.3683
ForthBB,Forth,BB,,,,,0.2148,0.4701,0.3118,0.2521,0.4104
ForthBB-RRT,Forth,BB,,RRT,,,0.1816,0.4085,0.3135,0.2521,0.4104
ForthCT,Forth,,,,CT,,0.5468,0.7213,0.5357,0.3362,0.6725
ForthCT-RRT,Forth,,,RRT,CT,,0.5121,0.5471,0.5357,0.3362,0.6725
ForthCTBB,Forth,BB,,,CT,,0.5200,0.7156,0.5858,0.3196,0.6742
ForthCTBB-RRT,Forth,BB,,RRT,CT,,0.5200,0.5470,0.5858,0.3196,0.6742
ForthCTSegment,Forth,Segment,,,CT,,0.3867,0.7160,0.6101,0.3166,0.6754
ForthCTSegment-RRT,Forth,Segment,,RRT,CT,,0.4418,0.5524,0.6101,0.3166,0.6754
ForthR,Forth,,,,,R,0.3886,0.3545,0.3116,0.3196,0.3700
ForthR-RRT,Forth,,,RRT,,R,0.3886,0.3529,0.3127,0.3196,0.3700
ForthRBB,Forth,BB,,,,R,0.3592,0.4273,0.3152,0.2498,0.4096
ForthRBB-RRT,Forth,BB,,RRT,,R,0.3592,0.4288,0.3152,0.2498,0.4096
ForthRCT,Forth,,,,CT,R,0.5468,0.7213,0.5357,0.3362,0.6725
ForthRCT-RRT,Forth,,,RRT,CT,R,0.5121,0.5471,0.5357,0.3362,0.6725
ForthRCTBB,Forth,BB,,,CT,R,0.5200,0.7156,0.5858,0.3196,0.6742
ForthRCTBB-RRT,Forth,BB,,RRT,CT,R,0.5200,0.5470,0.5858,0.3196,0.6742
ForthRCTSegment,Forth,Segment,,,CT,R,0.3867,0.7160,0.6101,0.3166,0.6754
ForthRCTSegment-RRT,Forth,Segment,,RRT,CT,R,0.4418,0.5524,0.6101,0.3166,0.6754
ForthRSegment,Forth,Segment,,,,R,0.3661,0.4650,0.3783,0.2581,0.4474
ForthRSegment-RRT,Forth,Segment,,RRT,,R,0.3661,0.4656,0.3762,0.2581,0.4474
ForthSegment,Forth,Segment,,,,,0.2844,0.4816,0.4376,0.2468,0.4595
ForthSegment-RRT,Forth,Segment,,RRT,,,0.2909,0.4150,0.4199,0.2468,0.4595
ReCOSIACTTEC,COSIATEC,,RecurSIA,,CT,,0.8180,0.1948,0.2458,0.3152,0.4002
ReCOSIACTTEC-RRT,COSIATEC,,RecurSIA,RRT,CT,,0.4694,0.2034,0.2458,0.3152,0.4002
ReCOSIACTTECBB,COSIATEC,BB,RecurSIA,,CT,,0.7537,0.2634,0.3427,0.3400,0.4460
ReCOSIACTTECBB-RRT,COSIATEC,BB,RecurSIA,RRT,CT,,0.4316,0.2970,0.3427,0.3400,0.4460
ReCOSIACTTECSegment,COSIATEC,Segment,RecurSIA,,CT,,0.4516,0.5896,0.6293,0.4846,0.5779
ReCOSIACTTECSegment-RRT,COSIATEC,Segment,RecurSIA,RRT,CT,,0.3402,0.5936,0.6293,0.4846,0.5786
ReCOSIARCTTEC,COSIATEC,,RecurSIA,,CT,R,0.8180,0.1948,0.2458,0.3152,0.4002
ReCOSIARCTTEC-RRT,COSIATEC,,RecurSIA,RRT,CT,R,0.4694,0.2034,0.2458,0.3152,0.4002
ReCOSIARCTTECBB,COSIATEC,BB,RecurSIA,,CT,R,0.7537,0.2634,0.3427,0.3400,0.4460
ReCOSIARCTTECBB-RRT,COSIATEC,BB,RecurSIA,RRT,CT,R,0.4316,0.2970,0.3427,0.3400,0.4460
ReCOSIARCTTECSegment,COSIATEC,Segment,RecurSIA,,CT,R,0.4516,0.5896,0.6293,0.4846,0.5757
ReCOSIARCTTECSegment-RRT,COSIATEC,Segment,RecurSIA,RRT,CT,R,0.3402,0.5936,0.6293,0.4846,0.5780
ReCOSIARTEC,COSIATEC,,RecurSIA,,,R,0.6877,0.1960,0.2088,0.1452,0.3290
ReCOSIARTEC-RRT,COSIATEC,,RecurSIA,RRT,,R,0.4762,0.1587,0.2084,0.1452,0.3109
ReCOSIARTECBB,COSIATEC,BB,RecurSIA,,,R,0.6280,0.4894,0.5572,0.3386,0.4779
ReCOSIARTECBB-RRT,COSIATEC,BB,RecurSIA,RRT,,R,0.4920,0.5662,0.5165,0.3386,0.5062
ReCOSIARTECSegment,COSIATEC,Segment,RecurSIA,,,R,0.4471,0.6629,0.7916,0.3226,0.6258
ReCOSIARTECSegment-RRT,COSIATEC,Segment,RecurSIA,RRT,,R,0.3417,0.7548,0.7900,0.3226,0.6815
ReCOSIATEC,COSIATEC,,RecurSIA,,,,0.5766,0.1978,0.2904,0.2009,0.3725
ReCOSIATEC-RRT,COSIATEC,,RecurSIA,RRT,,,0.4762,0.1599,0.2190,0.2009,0.3725
ReCOSIATECBB,COSIATEC,BB,RecurSIA,,,,0.5158,0.6786,0.5337,0.3260,0.5506
ReCOSIATECBB-RRT,COSIATEC,BB,RecurSIA,RRT,,,0.4920,0.4891,0.4000,0.3260,0.5506
ReCOSIATECSegment,COSIATEC,Segment,RecurSIA,,,,0.4210,0.8380,0.7071,0.3437,0.6925
ReCOSIATECSegment-RRT,COSIATEC,Segment,RecurSIA,RRT,,,0.3417,0.7594,0.6154,0.3437,0.6873
ReForth,Forth,,RecurSIA,,,,0.2157,0.4854,0.3156,0.3141,0.3679
ReForth-RRT,Forth,,RecurSIA,RRT,,,0.1692,0.4093,0.3147,0.3141,0.3683
ReForthBB,Forth,BB,RecurSIA,,,,0.2148,0.4701,0.3118,0.2521,0.4104
ReForthBB-RRT,Forth,BB,RecurSIA,RRT,,,0.1816,0.4085,0.3135,0.2521,0.4104
ReForthCT,Forth,,RecurSIA,,CT,,0.5468,0.7213,0.5357,0.3362,0.6725
ReForthCT-RRT,Forth,,RecurSIA,RRT,CT,,0.5121,0.5471,0.5357,0.3362,0.6725
ReForthCTBB,Forth,BB,RecurSIA,,CT,,0.5200,0.7156,0.5858,0.3196,0.6742
ReForthCTBB-RRT,Forth,BB,RecurSIA,RRT,CT,,0.5200,0.5470,0.5858,0.3196,0.6742
ReForthCTSegment,Forth,Segment,RecurSIA,,CT,,0.3867,0.7160,0.6101,0.3166,0.6754
ReForthCTSegment-RRT,Forth,Segment,RecurSIA,RRT,CT,,0.4418,0.5524,0.6101,0.3166,0.6754
ReForthR,Forth,,RecurSIA,,,R,0.3886,0.3545,0.3116,0.3196,0.3700
ReForthR-RRT,Forth,,RecurSIA,RRT,,R,0.3886,0.3529,0.3127,0.3196,0.3700
ReForthRBB,Forth,BB,RecurSIA,,,R,0.3592,0.4273,0.3152,0.2498,0.4096
ReForthRBB-RRT,Forth,BB,RecurSIA,RRT,,R,0.3592,0.4288,0.3152,0.2498,0.4096
ReForthRCT,Forth,,RecurSIA,,CT,R,0.5468,0.7213,0.5357,0.3362,0.6725
ReForthRCT-RRT,Forth,,RecurSIA,RRT,CT,R,0.5121,0.5471,0.5357,0.3362,0.6725
ReForthRCTBB,Forth,BB,RecurSIA,,CT,R,0.5200,0.7156,0.5858,0.3196,0.6742
ReForthRCTBB-RRT,Forth,BB,RecurSIA,RRT,CT,R,0.5200,0.5470,0.5858,0.3196,0.6742
ReForthRCTSegment,Forth,Segment,RecurSIA,,CT,R,0.3867,0.7160,0.6101,0.3166,0.6754
ReForthRCTSegment-RRT,Forth,Segment,RecurSIA,RRT,CT,R,0.4418,0.5524,0.6101,0.3166,0.6754
ReForthRSegment,Forth,Segment,RecurSIA,,,R,0.3661,0.4650,0.3783,0.2581,0.4474
ReForthRSegment-RRT,Forth,Segment,RecurSIA,RRT,,R,0.3661,0.4656,0.3762,0.2581,0.4474
ReForthSegment,Forth,Segment,RecurSIA,,,,0.2844,0.4816,0.4376,0.2468,0.4595
ReForthSegment-RRT,Forth,Segment,RecurSIA,RRT,,,0.2909,0.4150,0.4199,0.2468,0.4595
ReSIACTTECCompress,SIATECCompress,,RecurSIA,,CT,,0.6501,0.3349,0.2709,0.2725,0.5178
ReSIACTTECCompress-RRT,SIATECCompress,,RecurSIA,RRT,CT,,0.6021,0.3341,0.2709,0.2576,0.5178
ReSIACTTECCompressBB,SIATECCompress,BB,RecurSIA,,CT,,0.6183,0.3940,0.3939,0.3575,0.5422
ReSIACTTECCompressBB-RRT,SIATECCompress,BB,RecurSIA,RRT,CT,,0.5788,0.3916,0.3939,0.3497,0.5422
ReSIACTTECCompressSegment,SIATECCompress,Segment,RecurSIA,,CT,,0.4741,0.3994,0.5265,0.3267,0.5416
ReSIACTTECCompressSegment-RRT,SIATECCompress,Segment,RecurSIA,RRT,CT,,0.4360,0.4125,0.5265,0.3147,0.5416
ReSIARCTTECCompress,SIATECCompress,,RecurSIA,,CT,R,0.6501,0.3349,0.2709,0.2725,0.5178
ReSIARCTTECCompress-RRT,SIATECCompress,,RecurSIA,RRT,CT,R,0.6021,0.3341,0.2709,0.2576,0.5178
ReSIARCTTECCompressBB,SIATECCompress,BB,RecurSIA,,CT,R,0.6183,0.3940,0.3939,0.3575,0.5422
ReSIARCTTECCompressBB-RRT,SIATECCompress,BB,RecurSIA,RRT,CT,R,0.5788,0.3916,0.3939,0.3497,0.5422
ReSIARCTTECCompressSegment,SIATECCompress,Segment,RecurSIA,,CT,R,0.4741,0.3994,0.5265,0.3267,0.5416
ReSIARCTTECCompressSegment-RRT,SIATECCompress,Segment,RecurSIA,RRT,CT,R,0.4360,0.4125,0.5265,0.3147,0.5416
ReSIARTECCompress,SIATECCompress,,RecurSIA,,,R,0.4015,0.2369,0.2216,0.2475,0.2991
ReSIARTECCompress-RRT,SIATECCompress,,RecurSIA,RRT,,R,0.4357,0.2366,0.2231,0.2475,0.2932
ReSIARTECCompressBB,SIATECCompress,BB,RecurSIA,,,R,0.3848,0.5622,0.6547,0.3596,0.5348
ReSIARTECCompressBB-RRT,SIATECCompress,BB,RecurSIA,RRT,,R,0.4169,0.5516,0.6804,0.3596,0.5188
ReSIARTECCompressSegment,SIATECCompress,Segment,RecurSIA,,,R,0.3423,0.6839,0.8357,0.3528,0.6342
ReSIARTECCompressSegment-RRT,SIATECCompress,Segment,RecurSIA,RRT,,R,0.3674,0.6814,0.8438,0.3528,0.6144
ReSIATECCompress,SIATECCompress,,RecurSIA,,,,0.4172,0.2420,0.2625,0.2691,0.3476
ReSIATECCompress-RRT,SIATECCompress,,RecurSIA,RRT,,,0.5126,0.2323,0.2517,0.2691,0.3502
ReSIATECCompressBB,SIATECCompress,BB,RecurSIA,,,,0.4500,0.6164,0.5718,0.3543,0.5439
ReSIATECCompressBB-RRT,SIATECCompress,BB,RecurSIA,RRT,,,0.4763,0.5685,0.5828,0.3543,0.5163
ReSIATECCompressSegment,SIATECCompress,Segment,RecurSIA,,,,0.4289,0.7461,0.8134,0.3447,0.5811
ReSIATECCompressSegment-RRT,SIATECCompress,Segment,RecurSIA,RRT,,,0.4289,0.7301,0.8213,0.3447,0.5754
SIACTTECCompress,SIATECCompress,,,,CT,,0.6501,0.3349,0.2709,0.2725,0.5178
SIACTTECCompress-RRT,SIATECCompress,,,RRT,CT,,0.6021,0.3341,0.2709,0.2576,0.5178
SIACTTECCompressBB,SIATECCompress,BB,,,CT,,0.6183,0.3940,0.3939,0.3575,0.5422
SIACTTECCompressBB-RRT,SIATECCompress,BB,,RRT,CT,,0.5788,0.3916,0.3939,0.3497,0.5422
SIACTTECCompressSegment,SIATECCompress,Segment,,,CT,,0.4741,0.3994,0.5265,0.3267,0.5416
SIACTTECCompressSegment-RRT,SIATECCompress,Segment,,RRT,CT,,0.4360,0.4125,0.5265,0.3147,0.5416
SIARCTTECCompress,SIATECCompress,,,,CT,R,0.6501,0.3349,0.2709,0.2725,0.5178
SIARCTTECCompress-RRT,SIATECCompress,,,RRT,CT,R,0.6021,0.3341,0.2709,0.2576,0.5178
SIARCTTECCompressBB,SIATECCompress,BB,,,CT,R,0.6183,0.3940,0.3939,0.3575,0.5422
SIARCTTECCompressBB-RRT,SIATECCompress,BB,,RRT,CT,R,0.5788,0.3916,0.3939,0.3497,0.5422
SIARCTTECCompressSegment,SIATECCompress,Segment,,,CT,R,0.4741,0.3994,0.5265,0.3267,0.5416
SIARCTTECCompressSegment-RRT,SIATECCompress,Segment,,RRT,CT,R,0.4360,0.4125,0.5265,0.3147,0.5416
SIARTECCompress,SIATECCompress,,,,,R,0.4015,0.2369,0.2216,0.2475,0.2991
SIARTECCompress-RRT,SIATECCompress,,,RRT,,R,0.4357,0.2366,0.2231,0.2475,0.2932
SIARTECCompressBB,SIATECCompress,BB,,,,R,0.3848,0.5622,0.6547,0.3596,0.5348
SIARTECCompressBB-RRT,SIATECCompress,BB,,RRT,,R,0.4169,0.5516,0.6804,0.3596,0.5188
SIARTECCompressSegment,SIATECCompress,Segment,,,,R,0.3423,0.6839,0.8357,0.3528,0.6342
SIARTECCompressSegment-RRT,SIATECCompress,Segment,,RRT,,R,0.3674,0.6814,0.8438,0.3528,0.6144
SIATECCompress,SIATECCompress,,,,,,0.4172,0.2420,0.2625,0.2691,0.3476
SIATECCompress-RRT,SIATECCompress,,,RRT,,,0.5126,0.2323,0.2517,0.2691,0.3502
SIATECCompressBB,SIATECCompress,BB,,,,,0.4500,0.6164,0.5718,0.3543,0.5439
SIATECCompressBB-RRT,SIATECCompress,BB,,RRT,,,0.4763,0.5685,0.5828,0.3543,0.5163
SIATECCompressSegment,SIATECCompress,Segment,,,,,0.4289,0.7461,0.8134,0.3447,0.5811
SIATECCompressSegment-RRT,SIATECCompress,Segment,,RRT,,,0.4289,0.7301,0.8213,0.3447,0.5754
