Algorithm, Bach, Beet, Chop, Gbns, Mzrt
Algorithm 1  COSIATEC-MIN-3, 0.57658, 0.24533, 0.26355, 0.21385, 0.37313
Algorithm 2  COSIATEC-MIN-4, 0.61041, 0.25818, 0.26355, 0.21689, 0.37707
Algorithm 3  COSIATEC, 0.57658, 0.19783, 0.26355, 0.20086, 0.37251
