Algorithm, Basic algorithm, Mode, RecurSIA, RRT, CT, R,Bach,Beethoven,Chopin,Gibbons,Mozart
ReCOSIARCTTECSegment-RRT,COSIATEC,Segment,RecurSIA,RRT,CT,R,0.1096,0.3737,0.2259,0.2701,0.4446
ReCOSIARTEC,COSIATEC,,RecurSIA,,,R,0.3310,0.1165,0.0986,0.1063,0.2398
ReCOSIARTEC-RRT,COSIATEC,,RecurSIA,RRT,,R,0.1246,0.1083,0.1059,0.1063,0.3786
ReCOSIARTECBB,COSIATEC,BB,RecurSIA,,,R,0.3062,0.2529,0.2553,0.3466,0.3466
ReCOSIARTECBB-RRT,COSIATEC,BB,RecurSIA,RRT,,R,0.1292,0.3531,0.2538,0.3466,0.5194
ReCOSIARTECSegment,COSIATEC,Segment,RecurSIA,,,R,0.2592,0.2991,0.4877,0.6126,0.4376
ReCOSIARTECSegment-RRT,COSIATEC,Segment,RecurSIA,RRT,,R,0.1112,0.5617,0.5508,0.6126,0.6662
ReCOSIATEC,COSIATEC,,RecurSIA,,,,0.3310,0.1344,0.1097,0.1460,0.3195
ReCOSIATEC-RRT,COSIATEC,,RecurSIA,RRT,,,0.1246,0.0841,0.0938,0.1460,0.3195
ReCOSIATECBB,COSIATEC,BB,RecurSIA,,,,0.3062,0.2673,0.2490,0.2818,0.4688
ReCOSIATECBB-RRT,COSIATEC,BB,RecurSIA,RRT,,,0.1292,0.3514,0.1879,0.2818,0.4688
ReCOSIATECSegment,COSIATEC,Segment,RecurSIA,,,,0.2592,0.3085,0.3737,0.5812,0.5502
ReCOSIATECSegment-RRT,COSIATEC,Segment,RecurSIA,RRT,,,0.1112,0.5218,0.4677,0.5812,0.5502
ReForth,Forth,,RecurSIA,,,,0.1965,0.2662,0.1412,0.2513,0.3719
ReForth-RRT,Forth,,RecurSIA,RRT,,,0.1417,0.2651,0.1315,0.2513,0.3719
ReForthBB,Forth,BB,RecurSIA,,,,0.1959,0.2593,0.1842,0.2034,0.3842
ReForthBB-RRT,Forth,BB,RecurSIA,RRT,,,0.1711,0.2571,0.1642,0.2034,0.3842
ReForthCT,Forth,,RecurSIA,,CT,,0.2296,0.4663,0.4467,0.2628,0.5738
ReForthCT-RRT,Forth,,RecurSIA,RRT,CT,,0.3940,0.4745,0.4469,0.2628,0.5738
ReForthCTBB,Forth,BB,RecurSIA,,CT,,0.2269,0.4669,0.4898,0.2502,0.5738
ReForthCTBB-RRT,Forth,BB,RecurSIA,RRT,CT,,0.3794,0.4750,0.4900,0.2502,0.5738
ReForthCTSegment,Forth,Segment,RecurSIA,,CT,,0.2152,0.4871,0.5090,0.2506,0.5738
ReForthCTSegment-RRT,Forth,Segment,RecurSIA,RRT,CT,,0.2979,0.4977,0.5093,0.2506,0.5738
ReForthR,Forth,,RecurSIA,,,R,0.2709,0.2530,0.1277,0.2778,0.3719
ReForthR-RRT,Forth,,RecurSIA,RRT,,R,0.2888,0.0607,0.1271,0.2778,0.3719
ReForthRBB,Forth,BB,RecurSIA,,,R,0.2533,0.2814,0.1589,0.2233,0.3842
ReForthRBB-RRT,Forth,BB,RecurSIA,RRT,,R,0.2712,0.0844,0.1552,0.2233,0.3842
ReForthRCT,Forth,,RecurSIA,,CT,R,0.2296,0.4663,0.4467,0.2628,0.5738
ReForthRCT-RRT,Forth,,RecurSIA,RRT,CT,R,0.3940,0.4745,0.4469,0.2628,0.5738
ReForthRCTBB,Forth,BB,RecurSIA,,CT,R,0.2269,0.4669,0.4898,0.2502,0.5738
ReForthRCTBB-RRT,Forth,BB,RecurSIA,RRT,CT,R,0.3794,0.4750,0.4900,0.2502,0.5738
ReForthRCTSegment,Forth,Segment,RecurSIA,,CT,R,0.2152,0.4871,0.5090,0.2506,0.5738
ReForthRCTSegment-RRT,Forth,Segment,RecurSIA,RRT,CT,R,0.2979,0.4977,0.5093,0.2506,0.5738
ReForthRSegment,Forth,Segment,RecurSIA,,,R,0.1926,0.3175,0.2559,0.2291,0.4480
ReForthRSegment-RRT,Forth,Segment,RecurSIA,RRT,,R,0.2093,0.1316,0.2588,0.2291,0.4480
ReForthSegment,Forth,Segment,RecurSIA,,,,0.1878,0.2854,0.3386,0.1974,0.4480
ReForthSegment-RRT,Forth,Segment,RecurSIA,RRT,,,0.1816,0.2830,0.2736,0.1974,0.4480
ReSIACTTECCompress,SIATECCompress,,RecurSIA,,CT,,0.4949,0.1907,0.2809,0.1922,0.5225
ReSIACTTECCompress-RRT,SIATECCompress,,RecurSIA,RRT,CT,,0.3405,0.2038,0.2809,0.1922,0.5225
ReSIACTTECCompressBB,SIATECCompress,BB,RecurSIA,,CT,,0.4901,0.2231,0.3543,0.2035,0.5507
ReSIACTTECCompressBB-RRT,SIATECCompress,BB,RecurSIA,RRT,CT,,0.3477,0.2462,0.3543,0.2035,0.5507
ReSIACTTECCompressSegment,SIATECCompress,Segment,RecurSIA,,CT,,0.4288,0.2496,0.3844,0.1896,0.5661
ReSIACTTECCompressSegment-RRT,SIATECCompress,Segment,RecurSIA,RRT,CT,,0.3090,0.2740,0.3844,0.1896,0.5661
ReSIARCTTECCompress,SIATECCompress,,RecurSIA,,CT,R,0.4949,0.1907,0.2809,0.1922,0.5225
ReSIARCTTECCompress-RRT,SIATECCompress,,RecurSIA,RRT,CT,R,0.3405,0.2038,0.2809,0.1922,0.5225
ReSIARCTTECCompressBB,SIATECCompress,BB,RecurSIA,,CT,R,0.4901,0.2231,0.3543,0.2035,0.5507
ReSIARCTTECCompressBB-RRT,SIATECCompress,BB,RecurSIA,RRT,CT,R,0.3477,0.2462,0.3543,0.2035,0.5507
ReSIARCTTECCompressSegment,SIATECCompress,Segment,RecurSIA,,CT,R,0.4288,0.2496,0.3844,0.1896,0.5661
ReSIARCTTECCompressSegment-RRT,SIATECCompress,Segment,RecurSIA,RRT,CT,R,0.3090,0.2740,0.3844,0.1896,0.5661
ReSIARTECCompress,SIATECCompress,,RecurSIA,,,R,0.2405,0.2289,0.1158,0.0905,0.3932
ReSIARTECCompress-RRT,SIATECCompress,,RecurSIA,RRT,,R,0.2487,0.1912,0.1175,0.0905,0.3932
ReSIARTECCompressBB,SIATECCompress,BB,RecurSIA,,,R,0.2828,0.3690,0.3192,0.1762,0.5429
ReSIARTECCompressBB-RRT,SIATECCompress,BB,RecurSIA,RRT,,R,0.2596,0.3587,0.3043,0.1762,0.5429
ReSIARTECCompressSegment,SIATECCompress,Segment,RecurSIA,,,R,0.2681,0.4319,0.5610,0.2656,0.6327
ReSIARTECCompressSegment-RRT,SIATECCompress,Segment,RecurSIA,RRT,,R,0.2386,0.4914,0.6267,0.2656,0.6327
ReSIATECCompress,SIATECCompress,,RecurSIA,,,,0.2405,0.2289,0.2887,0.1484,0.3955
ReSIATECCompress-RRT,SIATECCompress,,RecurSIA,RRT,,,0.2487,0.1912,0.2334,0.1484,0.3955
ReSIATECCompressBB,SIATECCompress,BB,RecurSIA,,,,0.2828,0.3690,0.5140,0.4004,0.5727
ReSIATECCompressBB-RRT,SIATECCompress,BB,RecurSIA,RRT,,,0.2596,0.3587,0.4129,0.4004,0.5727
ReSIATECCompressSegment,SIATECCompress,Segment,RecurSIA,,,,0.2681,0.4319,0.6280,0.6096,0.6158
ReSIATECCompressSegment-RRT,SIATECCompress,Segment,RecurSIA,RRT,,,0.2386,0.4914,0.5513,0.6096,0.6158
SIACTTECCompress,SIATECCompress,,,,CT,,0.4949,0.1907,0.2809,0.1922,0.5225
SIACTTECCompress-RRT,SIATECCompress,,,RRT,CT,,0.3405,0.2038,0.2809,0.1922,0.5225
SIACTTECCompressBB,SIATECCompress,BB,,,CT,,0.4901,0.2231,0.3543,0.2035,0.5507
SIACTTECCompressBB-RRT,SIATECCompress,BB,,RRT,CT,,0.3477,0.2462,0.3543,0.2035,0.5507
SIACTTECCompressSegment,SIATECCompress,Segment,,,CT,,0.4288,0.2496,0.3844,0.1896,0.5661
SIACTTECCompressSegment-RRT,SIATECCompress,Segment,,RRT,CT,,0.3090,0.2740,0.3844,0.1896,0.5661
SIARCTTECCompress,SIATECCompress,,,,CT,R,0.4949,0.1907,0.2809,0.1922,0.5225
SIARCTTECCompress-RRT,SIATECCompress,,,RRT,CT,R,0.3405,0.2038,0.2809,0.1922,0.5225
SIARCTTECCompressBB,SIATECCompress,BB,,,CT,R,0.4901,0.2231,0.3543,0.2035,0.5507
SIARCTTECCompressBB-RRT,SIATECCompress,BB,,RRT,CT,R,0.3477,0.2462,0.3543,0.2035,0.5507
SIARCTTECCompressSegment,SIATECCompress,Segment,,,CT,R,0.4288,0.2496,0.3844,0.1896,0.5661
SIARCTTECCompressSegment-RRT,SIATECCompress,Segment,,RRT,CT,R,0.3090,0.2740,0.3844,0.1896,0.5661
SIARTECCompress,SIATECCompress,,,,,R,0.2405,0.2289,0.1158,0.0905,0.3932
SIARTECCompress-RRT,SIATECCompress,,,RRT,,R,0.2487,0.1912,0.1175,0.0905,0.3932
SIARTECCompressBB,SIATECCompress,BB,,,,R,0.2828,0.3690,0.3192,0.1762,0.5429
SIARTECCompressBB-RRT,SIATECCompress,BB,,RRT,,R,0.2596,0.3587,0.3043,0.1762,0.5429
SIARTECCompressSegment,SIATECCompress,Segment,,,,R,0.2681,0.4319,0.5610,0.2656,0.6327
SIARTECCompressSegment-RRT,SIATECCompress,Segment,,RRT,,R,0.2386,0.4914,0.6267,0.2656,0.6327
SIATECCompress,SIATECCompress,,,,,,0.2405,0.2289,0.2887,0.1484,0.3955
SIATECCompress-RRT,SIATECCompress,,,RRT,,,0.2487,0.1912,0.2334,0.1484,0.3955
SIATECCompressBB,SIATECCompress,BB,,,,,0.2828,0.3690,0.5140,0.4004,0.5727
SIATECCompressBB-RRT,SIATECCompress,BB,,RRT,,,0.2596,0.3587,0.4129,0.4004,0.5727
SIATECCompressSegment,SIATECCompress,Segment,,,,,0.2681,0.4319,0.6280,0.6096,0.6158
SIATECCompressSegment-RRT,SIATECCompress,Segment,,RRT,,,0.2386,0.4914,0.5513,0.6096,0.6158
