Algorithm,Bach,Beethoven,Chopin,Gibbons,Mozart
ReForthRCT-RRT,0.2569,0.3314,0.1623,0.3285,0.4745
ReForthRCTBB,0.2368,0.4670,0.2012,0.3128,0.5086
ReForthRCTBB-RRT,0.2533,0.3608,0.2014,0.3128,0.5107
ReForthRCTSegment,0.1986,0.4784,0.2232,0.3133,0.5178
ReForthRCTSegment-RRT,0.2079,0.3764,0.2236,0.3133,0.5237
ReForthRSegment,0.1989,0.2932,0.2289,0.2291,0.3447
ReForthRSegment-RRT,0.2271,0.2361,0.2169,0.2291,0.3447
ReForthSegment,0.1308,0.3102,0.2708,0.2467,0.2756
ReForthSegment-RRT,0.1976,0.2617,0.2676,0.2467,0.2638
ReSIACTTECCompress,0.1798,0.1400,0.0764,0.1469,0.2239
ReSIACTTECCompress-RRT,0.1530,0.1393,0.0764,0.1450,0.2239
ReSIACTTECCompressBB,0.1760,0.1725,0.1115,0.1826,0.2617
ReSIACTTECCompressBB-RRT,0.1512,0.1733,0.1116,0.1769,0.2617
ReSIACTTECCompressSegment,0.1544,0.1867,0.1473,0.1798,0.2840
ReSIACTTECCompressSegment-RRT,0.1332,0.1932,0.1473,0.1749,0.2840
ReSIARCTTECCompress,0.1798,0.1400,0.0764,0.1469,0.2239
ReSIARCTTECCompress-RRT,0.1530,0.1393,0.0764,0.1450,0.2239
ReSIARCTTECCompressBB,0.1760,0.1725,0.1115,0.1826,0.2617
ReSIARCTTECCompressBB-RRT,0.1512,0.1733,0.1116,0.1769,0.2617
ReSIARCTTECCompressSegment,0.1544,0.1867,0.1473,0.1798,0.2840
ReSIARCTTECCompressSegment-RRT,0.1332,0.1932,0.1473,0.1749,0.2840
ReSIARTECCompress,0.1238,0.1502,0.0595,0.1418,0.1305
ReSIARTECCompress-RRT,0.1731,0.1491,0.0615,0.1418,0.1275
ReSIARTECCompressBB,0.1874,0.4161,0.2779,0.2849,0.3433
ReSIARTECCompressBB-RRT,0.2007,0.4225,0.2757,0.2849,0.3459
ReSIARTECCompressSegment,0.1899,0.5509,0.4729,0.4242,0.5026
ReSIARTECCompressSegment-RRT,0.1957,0.5661,0.4822,0.4242,0.5094
ReSIATECCompress,0.1387,0.1390,0.0692,0.1381,0.1832
ReSIATECCompress-RRT,0.1720,0.1366,0.0631,0.1381,0.1671
ReSIATECCompressBB,0.1909,0.4018,0.2427,0.2990,0.4195
ReSIATECCompressBB-RRT,0.2061,0.3794,0.2440,0.2990,0.3928
ReSIATECCompressSegment,0.2110,0.5729,0.4175,0.4655,0.5325
ReSIATECCompressSegment-RRT,0.2183,0.5346,0.4136,0.4655,0.5217
SIACTTECCompress,0.1798,0.1400,0.0764,0.1469,0.2239
SIACTTECCompress-RRT,0.1530,0.1393,0.0764,0.1450,0.2239
SIACTTECCompressBB,0.1760,0.1725,0.1115,0.1826,0.2617
SIACTTECCompressBB-RRT,0.1512,0.1733,0.1116,0.1769,0.2617
SIACTTECCompressSegment,0.1544,0.1867,0.1473,0.1798,0.2840
SIACTTECCompressSegment-RRT,0.1332,0.1932,0.1473,0.1749,0.2840
SIARCTTECCompress,0.1798,0.1400,0.0764,0.1469,0.2239
SIARCTTECCompress-RRT,0.1530,0.1393,0.0764,0.1450,0.2239
SIARCTTECCompressBB,0.1760,0.1725,0.1115,0.1826,0.2617
SIARCTTECCompressBB-RRT,0.1512,0.1733,0.1116,0.1769,0.2617
SIARCTTECCompressSegment,0.1544,0.1867,0.1473,0.1798,0.2840
SIARCTTECCompressSegment-RRT,0.1332,0.1932,0.1473,0.1749,0.2840
SIARTECCompress,0.1238,0.1502,0.0595,0.1418,0.1305
SIARTECCompress-RRT,0.1731,0.1491,0.0615,0.1418,0.1275
SIARTECCompressBB,0.1874,0.4161,0.2779,0.2849,0.3433
SIARTECCompressBB-RRT,0.2007,0.4225,0.2757,0.2849,0.3459
SIARTECCompressSegment,0.1899,0.5509,0.4729,0.4242,0.5026
SIARTECCompressSegment-RRT,0.1957,0.5661,0.4822,0.4242,0.5094
SIATECCompress,0.1387,0.1390,0.0692,0.1381,0.1832
SIATECCompress-RRT,0.1720,0.1366,0.0631,0.1381,0.1671
SIATECCompressBB,0.1909,0.4018,0.2427,0.2990,0.4195
SIATECCompressBB-RRT,0.2061,0.3794,0.2440,0.2990,0.3928
SIATECCompressSegment,0.2110,0.5729,0.4175,0.4655,0.5325
SIATECCompressSegment-RRT,0.2183,0.5346,0.4136,0.4655,0.5217
