Algorithm, Basic algorithm, Mode, RecurSIA, RRT, CT, R,% change in R3,Bach,% change in R3,Beethoven,% change in R3,Chopin,% change in R3,Gibbons,% change in R3,Mozart,Average % change in R3,,Average change over all cases,
ReSIARTECCompressBB-RRT,SIATECCompress,BB,RecurSIA,RRT,Z,R,19.93243243,0.4615,7.239416578,0.6029,5.218187366,0.6896,33.4538376,0.4799,2.729992521,0.5494,13.7147733,,,
ReSIARTECCompressBB,SIATECCompress,BB,RecurSIA,Z,Z,R,9.173596674,0.4201,7.04375667,0.6018,0,0.6554,33.4538376,0.4799,0.523560209,0.5376,10.03895023,,,
SIARTECCompressBB-RRT,SIATECCompress,BB,Z,RRT,Z,R,8.341995842,0.4169,-1.885450018,0.5516,5.218187366,0.6896,0,0.3596,-2.991772625,0.5188,1.736592113,,,
SIARTECCompressBB,SIATECCompress,BB,Z,Z,Z,R,,0.3848,,0.5622,,0.6554,,0.3596,,0.5348,,,,
ReSIACTTECCompressBB-RRT,SIATECCompress,BB,RecurSIA,RRT,CT,Z,12.95487627,0.6984,95.27918782,0.7694,53.25670498,0.56,28.41958042,0.4591,21.50497971,0.6588,42.28306584,,,
ReSIACTTECCompressBB,SIATECCompress,BB,RecurSIA,Z,CT,Z,19.32718745,0.7378,95.27918782,0.7694,53.25670498,0.56,23.38461538,0.4411,21.50497971,0.6588,42.55053507,,,
SIACTTECCompressBB-RRT,SIATECCompress,BB,Z,RRT,CT,Z,-6.388484554,0.5788,-0.609137056,0.3916,0,0.3654,-2.181818182,0.3497,0,0.5422,-1.835887958,,,
SIACTTECCompressBB,SIATECCompress,BB,Z,Z,CT,Z,,0.6183,,0.394,,0.3654,,0.3575,,0.5422,,,,
ReSIATECCompressBB-RRT,SIATECCompress,BB,RecurSIA,RRT,Z,Z,5.844444444,0.4763,-5.06164828,0.5852,2.581211589,0.5842,1.213660739,0.3586,4.522890237,0.5685,1.820111746,,,
ReSIATECCompressBB,SIATECCompress,BB,RecurSIA,Z,Z,Z,0.377777778,0.4517,0,0.6164,0,0.5695,1.213660739,0.3586,6.214377643,0.5777,1.561163232,,,
SIATECCompressBB-RRT,SIATECCompress,BB,Z,RRT,Z,Z,5.844444444,0.4763,-7.770927969,0.5685,2.581211589,0.5842,0,0.3543,-5.074462217,0.5163,-0.883946831,,,
SIATECCompressBB,SIATECCompress,BB,Z,Z,Z,Z,,0.45,,0.6164,,0.5695,,0.3543,,0.5439,,,,
ReCOSIARCTTECSegment-RRT,COSIATEC,Segment,RecurSIA,RRT,CT,R,-24.66784765,0.3402,0.678426052,0.5936,2.316825948,0.7066,0,0.4846,0.399513636,0.578,-4.254616403,,,
ReCOSIARCTTECSegment,COSIATEC,Segment,RecurSIA,Z,CT,R,0,0.4516,0,0.5896,2.316825948,0.7066,0,0.4846,0,0.5757,0.46336519,,,
COSIARCTTECSegment-RRT,COSIATEC,Segment,Z,RRT,CT,R,-24.66784765,0.3402,0.678426052,0.5936,0,0.6906,0,0.4846,0.399513636,0.578,-4.717981593,,,
COSIARCTTECSegment,COSIATEC,Segment,Z,Z,CT,R,,0.4516,,0.5896,,0.6906,,0.4846,,0.5757,,,,
ReCOSIARTECSegment-RRT,COSIATEC,Segment,RecurSIA,RRT,Z,R,-23.57414449,0.3417,13.8633278,0.7548,-0.264283916,0.7925,11.53130812,0.3598,8.900607223,0.6815,2.091362949,,,
ReCOSIARTECSegment,COSIATEC,Segment,RecurSIA,Z,Z,R,0,0.4471,0,0.6629,0,0.7946,11.53130812,0.3598,0,0.6258,2.306261624,,,
COSIARTECSegment-RRT,COSIATEC,Segment,Z,RRT,Z,R,-23.57414449,0.3417,13.8633278,0.7548,-0.264283916,0.7925,0,0.3226,8.900607223,0.6815,-0.214898676,,,
COSIARTECSegment,COSIATEC,Segment,Z,Z,Z,R,,0.4471,,0.6629,,0.7946,,0.3226,,0.6258,,,,
ReCOSIACTTECSegment-RRT,COSIATEC,Segment,RecurSIA,RRT,CT,Z,-24.66784765,0.3402,0.678426052,0.5936,2.316825948,0.7066,0,0.4846,0.121128223,0.5786,-4.310293486,,,
ReCOSIACTTECSegment,COSIATEC,Segment,RecurSIA,Z,CT,Z,0,0.4516,0,0.5896,2.316825948,0.7066,0,0.4846,0,0.5779,0.46336519,,,
