Algorithm,Bach,Beethoven,Chopin,Gibbons,Mozart
ReForthRCT-RRT,0.3940,0.4745,0.4469,0.2628,0.5738
ReForthRCTBB,0.2269,0.4669,0.4898,0.2502,0.5738
ReForthRCTBB-RRT,0.3794,0.4750,0.4900,0.2502,0.5738
ReForthRCTSegment,0.2152,0.4871,0.5090,0.2506,0.5738
ReForthRCTSegment-RRT,0.2979,0.4977,0.5093,0.2506,0.5738
ReForthRSegment,0.1926,0.3175,0.2559,0.2291,0.4480
ReForthRSegment-RRT,0.2093,0.1316,0.2588,0.2291,0.4480
ReForthSegment,0.1878,0.2854,0.3386,0.1974,0.4480
ReForthSegment-RRT,0.1816,0.2830,0.2736,0.1974,0.4480
ReSIACTTECCompress,0.4949,0.1907,0.2809,0.1922,0.5225
ReSIACTTECCompress-RRT,0.3405,0.2038,0.2809,0.1922,0.5225
ReSIACTTECCompressBB,0.4901,0.2231,0.3543,0.2035,0.5507
ReSIACTTECCompressBB-RRT,0.3477,0.2462,0.3543,0.2035,0.5507
ReSIACTTECCompressSegment,0.4288,0.2496,0.3844,0.1896,0.5661
ReSIACTTECCompressSegment-RRT,0.3090,0.2740,0.3844,0.1896,0.5661
ReSIARCTTECCompress,0.4949,0.1907,0.2809,0.1922,0.5225
ReSIARCTTECCompress-RRT,0.3405,0.2038,0.2809,0.1922,0.5225
ReSIARCTTECCompressBB,0.4901,0.2231,0.3543,0.2035,0.5507
ReSIARCTTECCompressBB-RRT,0.3477,0.2462,0.3543,0.2035,0.5507
ReSIARCTTECCompressSegment,0.4288,0.2496,0.3844,0.1896,0.5661
ReSIARCTTECCompressSegment-RRT,0.3090,0.2740,0.3844,0.1896,0.5661
ReSIARTECCompress,0.2405,0.2289,0.1158,0.0905,0.3932
ReSIARTECCompress-RRT,0.2487,0.1912,0.1175,0.0905,0.3932
ReSIARTECCompressBB,0.2828,0.3690,0.3192,0.1762,0.5429
ReSIARTECCompressBB-RRT,0.2596,0.3587,0.3043,0.1762,0.5429
ReSIARTECCompressSegment,0.2681,0.4319,0.5610,0.2656,0.6327
ReSIARTECCompressSegment-RRT,0.2386,0.4914,0.6267,0.2656,0.6327
ReSIATECCompress,0.2405,0.2289,0.2887,0.1484,0.3955
ReSIATECCompress-RRT,0.2487,0.1912,0.2334,0.1484,0.3955
ReSIATECCompressBB,0.2828,0.3690,0.5140,0.4004,0.5727
ReSIATECCompressBB-RRT,0.2596,0.3587,0.4129,0.4004,0.5727
ReSIATECCompressSegment,0.2681,0.4319,0.6280,0.6096,0.6158
ReSIATECCompressSegment-RRT,0.2386,0.4914,0.5513,0.6096,0.6158
SIACTTECCompress,0.4949,0.1907,0.2809,0.1922,0.5225
SIACTTECCompress-RRT,0.3405,0.2038,0.2809,0.1922,0.5225
SIACTTECCompressBB,0.4901,0.2231,0.3543,0.2035,0.5507
SIACTTECCompressBB-RRT,0.3477,0.2462,0.3543,0.2035,0.5507
SIACTTECCompressSegment,0.4288,0.2496,0.3844,0.1896,0.5661
SIACTTECCompressSegment-RRT,0.3090,0.2740,0.3844,0.1896,0.5661
